Théophile	O	O	O	-
Gautier	O	O	O	-
Le	O	O	O	-
Capitaine	O	O	O	-
Fracasse	O	O	O	-
(	O	O	O	-
1863	O	O	O	-
)	O	O	O	-
I	O	O	O	-
-	O	O	O	-
Le	O	O	O	-
Château	O	O	O	-
De	O	O	O	-
La	O	O	O	-
Misère	O	O	O	-
Sur	O	O	O	-
le	O	O	O	-
revers	O	O	O	-
d'	O	O	O	-
une	O	B-LOC	O	20
de	O	I-LOC	O	-
ces	B-LOC	I-LOC	O	22
collines	I-LOC	I-LOC	O	-
décharnées	I-LOC	I-LOC	O	-
qui	B-LOC	O	O	22
bossuent	O	O	O	-
les	B-GPE	O	O	27
Landes	E-GPE	O	O	-
,	O	O	O	-
entre	O	O	O	-
Dax	B-GPE	B-GPE	O	31
et	O	I-GPE	O	-
Mont	B-GPE	I-GPE	O	33
-	I-GPE	I-GPE	O	-
de	I-GPE	I-GPE	O	-
-	I-GPE	I-GPE	O	-
Marsan	E-GPE	E-GPE	O	-
,	O	O	O	-
s'	O	O	O	-
élevait	O	O	O	-
,	O	O	O	-
sous	O	O	O	-
le	O	B-TIME	O	43
règne	O	I-TIME	O	-
de	O	I-TIME	O	-
Louis	B-PER	I-TIME	O	46
Xiii	E-PER	E-TIME	O	-
,	O	O	O	-
une	O	O	B-FAC	49
de	O	O	I-FAC	-
ces	O	B-FAC	I-FAC	51
gentilhommières	O	I-FAC	I-FAC	-
si	O	I-FAC	I-FAC	-
communes	O	I-FAC	I-FAC	-
en	O	I-FAC	I-FAC	-
Gascogne	S-GPE	E-FAC	E-FAC	56
,	O	O	O	-
et	O	O	O	-
que	B-FAC	O	O	51
les	B-PER	O	O	60
villageois	I-PER	O	O	-
décorent	O	O	O	-
du	O	O	O	-
nom	O	O	O	-
de	O	O	O	-
château	O	O	O	-
.	O	O	O	-
Deux	B-FAC	O	O	68
tours	I-FAC	O	O	-
rondes	I-FAC	O	O	-
,	I-FAC	O	O	-
coiffées	I-FAC	O	O	-
de	I-FAC	O	O	-
toits	I-FAC	O	O	-
en	I-FAC	O	O	-
éteignoir	E-FAC	O	O	-
,	O	O	O	-
flanquaient	O	O	O	-
les	O	O	O	-
angles	O	O	O	-
d'	O	O	O	-
un	B-FAC	O	O	49
bâtiment	E-FAC	O	O	-
,	O	O	O	-
sur	O	O	O	-
la	O	O	O	-
façade	O	O	O	-
duquel	B-FAC	O	O	49
deux	O	O	O	-
rainures	O	O	O	-
profondément	O	O	O	-
entaillées	O	O	O	-
trahissaient	O	O	O	-
l'	O	O	O	-
existence	O	O	O	-
primitive	O	O	O	-
d'	O	O	O	-
un	O	B-FAC	O	98
pont	O	I-FAC	O	-
-	O	I-FAC	O	-
levis	O	I-FAC	O	-
réduit	O	I-FAC	O	-
à	O	I-FAC	O	-
l'	O	I-FAC	O	-
état	O	I-FAC	O	-
de	O	I-FAC	O	-
sinécure	O	I-FAC	O	-
par	O	I-FAC	O	-
le	O	I-FAC	O	-
nivelage	O	I-FAC	O	-
du	B-LOC	I-FAC	O	111
fossé	E-LOC	E-FAC	O	-
,	O	O	O	-
et	O	O	O	-
donnaient	O	O	O	-
au	B-FAC	O	O	49
manoir	I-FAC	O	O	-
un	O	O	O	-
aspect	O	O	O	-
assez	O	O	O	-
féodal	O	O	O	-
,	O	O	O	-
avec	O	O	O	-
leurs	B-FAC	B-FAC	O	68
échauguettes	O	I-FAC	O	-
en	O	I-FAC	O	-
poivrière	O	I-FAC	O	-
et	O	O	O	-
leurs	B-FAC	O	O	68
girouettes	O	O	O	-
à	O	O	O	-
queue	O	O	O	-
