Raymond	O	O	O	O	-
Radiguet	O	O	O	O	-
Le	O	O	O	O	-
Diable	O	O	O	O	-
au	O	O	O	O	-
corps	O	O	O	O	-
Grasset	O	O	O	O	-
,	O	O	O	O	-
1923	O	O	O	O	-
Je	B-PER	O	O	O	10
vais	O	O	O	O	-
encourir	O	O	O	O	-
bien	O	O	O	O	-
des	O	O	O	O	-
reproches	O	O	O	O	-
.	O	O	O	O	-
Mais	O	O	O	O	-
qu'	O	O	O	O	-
y	O	O	O	O	-
puis	O	O	O	O	-
-	B-PER	O	O	O	10
je	I-PER	O	O	O	-
?	O	O	O	O	-
Est	O	O	O	O	-
-	O	O	O	O	-
ce	O	O	O	O	-
ma	B-PER	O	O	O	10
faute	O	O	O	O	-
si	O	O	O	O	-
j'	S-PER	O	O	O	10
eus	O	O	O	O	-
douze	B-TIME	O	O	O	32
ans	I-TIME	O	O	O	-
quelques	O	O	B-TIME	O	34
mois	O	O	I-TIME	O	-
avant	O	O	I-TIME	O	-
la	O	B-HIST	I-TIME	O	37
déclaration	O	I-HIST	I-TIME	O	-
de	O	I-HIST	I-TIME	O	-
la	B-HIST	I-HIST	I-TIME	O	40
guerre	I-HIST	I-HIST	I-TIME	O	-
?	O	O	O	O	-
Sans	O	O	O	O	-
doute	O	O	O	O	-
,	O	O	O	O	-
les	O	O	O	O	-
troubles	O	O	O	O	-
qui	O	O	O	O	-
me	O	O	O	O	-
vinrent	O	O	O	O	-
de	O	O	O	O	-
cette	B-TIME	O	O	O	34
période	I-TIME	O	O	O	-
extraordinaire	I-TIME	O	O	O	-
furent	O	O	O	O	-
d'	O	O	O	O	-
une	O	O	O	O	-
sorte	O	O	O	O	-
qu'	O	O	O	O	-
on	O	O	O	O	-
n'	O	O	O	O	-
éprouve	O	O	O	O	-
jamais	O	O	O	O	-
à	O	O	O	O	-
cet	B-TIME	O	O	O	32
âge	I-TIME	O	O	O	-
;	O	O	O	O	-
mais	O	O	O	O	-
comme	O	O	O	O	-
il	O	O	O	O	-
n'	O	O	O	O	-
existe	O	O	O	O	-
rien	O	O	O	O	-
d'	O	O	O	O	-
assez	O	O	O	O	-
fort	O	O	O	O	-
pour	O	O	O	O	-
nous	O	O	O	O	-
vieillir	O	O	O	O	-
malgré	O	O	O	O	-
les	O	O	O	O	-
apparences	O	O	O	O	-
,	O	O	O	O	-
c'	O	O	O	O	-
est	O	O	O	O	-
en	O	O	O	O	-
enfant	O	O	O	O	-
que	O	O	O	O	-
je	B-PER	O	O	O	10
