Émile	O	O	O	-
Zola	O	O	O	-
Le	O	O	O	-
Ventre	O	O	O	-
de	O	O	O	-
Paris	O	O	O	-
(	O	O	O	-
1873	O	O	O	-
)	O	O	O	-
G	O	O	O	-
.	O	O	O	-
Charpentier	O	O	O	-
,	O	O	O	-
1878	O	O	O	-
(	O	O	O	-
pp	O	O	O	-
.	O	O	O	-
1	O	O	O	-
-	O	O	O	-
45	O	O	O	-
)	O	O	O	-
I	O	O	O	-
Au	O	O	O	-
milieu	O	O	O	-
du	O	O	O	-
grand	O	O	O	-
silence	O	O	O	-
,	O	O	O	-
et	O	O	O	-
dans	O	O	O	-
le	O	O	O	-
désert	O	O	O	-
de	O	O	O	-
l'	B-FAC	O	O	34
avenue	E-FAC	O	O	-
,	O	O	O	-
les	B-VEH	O	O	37
voitures	I-VEH	O	O	-
de	I-VEH	O	O	-
maraîchers	I-VEH	O	O	-
montaient	O	O	O	-
vers	O	O	O	-
Paris	S-GPE	O	O	43
,	O	O	O	-
avec	O	O	O	-
les	O	O	O	-
cahots	O	O	O	-
rythmés	O	O	O	-
de	O	O	O	-
leurs	B-VEH	O	O	37
roues	O	O	O	-
,	O	O	O	-
dont	O	O	O	-
les	O	O	O	-
échos	O	O	O	-
battaient	O	O	O	-
les	O	O	O	-
façades	O	O	O	-
des	B-LOC	O	O	59
maisons	E-LOC	O	O	-
,	O	O	O	-
endormies	O	O	O	-
aux	O	O	O	-
deux	O	O	O	-
bords	O	O	O	-
,	O	O	O	-
derrière	O	O	O	-
les	O	O	O	-
lignes	O	O	O	-
confuses	O	O	O	-
des	O	O	O	-
ormes	O	O	O	-
.	O	O	O	-
Un	O	O	O	-
tombereau	O	O	O	-
de	O	O	O	-
choux	O	O	O	-
et	O	O	O	-
un	O	O	O	-
tombereau	O	O	O	-
de	O	O	O	-
pois	O	O	O	-
,	O	O	O	-
au	O	B-LOC	O	84
pont	O	I-LOC	O	-
de	O	I-LOC	O	-
Neuilly	S-GPE	E-LOC	O	87
,	O	O	O	-
s'	O	O	O	-
étaient	O	O	O	-
joints	O	O	O	-
aux	B-VEH	O	O	92
huit	I-VEH	O	O	-
voitures	I-VEH	O	O	-
de	I-VEH	O	O	-
navets	I-VEH	O	O	-
et	I-VEH	O	O	-
de	I-VEH	O	O	-
carottes	I-VEH	O	O	-
qui	B-VEH	O	O	92
descendaient	O	O	O	-
de	O	O	O	-
Nanterre	B-GPE	O	O	103
;	O	O	O	-
et	O	O	O	-
les	B-VEH	O	O	106
chevaux	I-VEH	O	O	-
allaient	O	O	O	-
tout	O	O	O	-
seuls	O	O	O	-
,	O	O	O	-
la	O	O	O	-
tête	O	O	O	-
basse	O	O	O	-
,	O	O	O	-
de	O	O	O	-
leur	B-VEH	O	O	106
allure	O	O	O	-
continue	O	O	O	-
et	O	O	O	-
paresseuse	O	O	O	-
,	O	O	O	-
que	B-VEH	O	O	106
la	O	O	O	-
montée	O	O	O	-
ralentissait	O	O	O	-
encore	O	O	O	-
.	O	O	O	-
En	O	O	O	-
haut	O	O	O	-
,	O	O	O	-
sur	O	O	O	-
la	O	O	O	-
charge	O	O	O	-
des	O	O	O	-
légumes	O	O	O	-
,	O	O	O	-
allongés	O	O	O	-
à	O	O	O	-
plat	O	O	O	-
ventre	O	O	O	-
,	O	O	O	-
couverts	O	O	O	-
de	O	O	O	-
leur	B-PER	O	O	145
limousine	O	O	O	-
à	O	O	O	-
petites	O	O	O	-
raies	O	O	O	-
noires	O	O	O	-
et	O	O	O	-
grises	O	O	O	-
,	O	O	O	-
les	B-PER	O	O	145
charretiers	I-PER	O	O	-
sommeillaient	O	O	O	-
,	O	O	O	-
les	O	O	O	-
guides	O	O	O	-
aux	O	O	O	-
poignets	O	O	O	-
.	O	O	O	-
Un	O	O	O	-
bec	O	O	O	-
de	O	O	O	-
gaz	O	O	O	-
,	O	O	O	-
au	O	O	O	-
sortir	O	O	O	-
d'	O	O	O	-
une	O	O	O	-
nappe	O	O	O	-
d'	O	O	O	-
ombre	O	O	O	-
,	O	O	O	-
éclairait	O	O	O	-
les	O	O	O	-
clous	O	O	O	-
d'	O	O	O	-
un	O	O	O	-
soulier	O	O	O	-
,	O	O	O	-
la	O	O	O	-
manche	O	O	O	-
bleue	O	O	O	-
d'	O	O	O	-
une	O	O	O	-
blouse	O	O	O	-
,	O	O	O	-
le	O	O	O	-
bout	O	O	O	-
d'	O	O	O	-
une	O	O	O	-
casquette	O	O	O	-
,	O	O	O	-
entrevus	O	O	O	-
dans	O	O	O	-
cette	O	O	O	-
floraison	O	O	O	-
énorme	O	O	O	-
des	O	O	O	-
bouquets	O	O	O	-
rouges	O	O	O	-
des	O	O	O	-
carottes	O	O	O	-
,	O	O	O	-
des	O	O	O	-
bouquets	O	O	O	-
blancs	O	O	O	-
des	O	O	O	-
navets	O	O	O	-
,	O	O	O	-
des	O	O	O	-
verdures	O	O	O	-
débordantes	O	O	O	-
des	O	O	O	-
pois	O	O	O	-
et	O	O	O	-
des	O	O	O	-
choux	O	O	O	-
.	O	O	O	-
Et	O	O	O	-
,	O	O	O	-
sur	O	O	O	-
la	B-LOC	O	O	225
route	E-LOC	O	O	-
,	O	O	O	-
sur	O	O	O	-
les	B-LOC	O	O	229
routes	I-LOC	O	O	-
voisines	E-LOC	O	O	-
,	O	O	O	-
en	O	O	O	-
avant	O	O	O	-
et	O	O	O	-
en	O	O	O	-
arrière	O	O	O	-
,	O	O	O	-
des	O	O	O	-
ronflements	O	O	O	-
lointains	O	O	O	-
de	O	O	O	-
charrois	O	O	O	-
annonçaient	O	O	O	-
des	B-VEH	O	O	245
convois	I-VEH	O	O	-
pareils	E-VEH	O	O	-
,	O	O	O	-
tout	B-VEH	O	O	249
un	I-VEH	O	O	-
arrivage	I-VEH	O	O	-
traversant	O	O	O	-
les	O	O	O	-
ténèbres	O	O	O	-
et	O	O	O	-
le	O	O	O	-

.	O	O	O	-
1	O	O	O	-
-	O	O	O	-
45	O	O	O	-
)	O	O	O	-
I	O	O	O	-
Au	O	O	O	-
milieu	O	O	O	-
du	O	O	O	-
grand	O	O	O	-
silence	O	O	O	-
,	O	O	O	-
et	O	O	O	-
dans	O	O	O	-
le	O	O	O	-
désert	O	O	O	-
de	O	O	O	-
l'	B-FAC	O	O	18
avenue	E-FAC	O	O	-
,	O	O	O	-
les	B-VEH	O	O	21
voitures	I-VEH	O	O	-
de	I-VEH	O	O	-
maraîchers	I-VEH	O	O	-
montaient	O	O	O	-
vers	O	O	O	-
Paris	S-GPE	O	O	27
,	O	O	O	-
avec	O	O	O	-
les	O	O	O	-
cahots	O	O	O	-
rythmés	O	O	O	-
de	O	O	O	-
leurs	B-VEH	O	O	21
roues	O	O	O	-
,	O	O	O	-
dont	O	O	O	-
les	O	O	O	-
échos	O	O	O	-
battaient	O	O	O	-
les	O	O	O	-
façades	O	O	O	-
des	B-LOC	O	O	43
maisons	E-LOC	O	O	-
,	O	O	O	-
endormies	O	O	O	-
aux	O	O	O	-
deux	O	O	O	-
bords	O	O	O	-
,	O	O	O	-
derrière	O	O	O	-
les	O	O	O	-
lignes	O	O	O	-
confuses	O	O	O	-
des	O	O	O	-
ormes	O	O	O	-
.	O	O	O	-
Un	O	O	O	-
tombereau	O	O	O	-
de	O	O	O	-
choux	O	O	O	-
et	O	O	O	-
un	O	O	O	-
tombereau	O	O	O	-
de	O	O	O	-
pois	O	O	O	-
,	O	O	O	-
au	O	B-LOC	O	68
pont	O	I-LOC	O	-
de	O	I-LOC	O	-
Neuilly	S-GPE	E-LOC	O	71
,	O	O	O	-
s'	O	O	O	-
étaient	O	O	O	-
joints	O	O	O	-
aux	B-VEH	O	O	76
huit	I-VEH	O	O	-
voitures	I-VEH	O	O	-
de	I-VEH	O	O	-
navets	I-VEH	O	O	-
et	I-VEH	O	O	-
de	I-VEH	O	O	-
carottes	I-VEH	O	O	-
qui	B-VEH	O	O	76
descendaient	O	O	O	-
de	O	O	O	-
Nanterre	B-GPE	O	O	87
;	O	O	O	-
et	O	O	O	-
les	B-VEH	O	O	90
chevaux	I-VEH	O	O	-
allaient	O	O	O	-
tout	O	O	O	-
seuls	O	O	O	-
,	O	O	O	-
la	O	O	O	-
tête	O	O	O	-
basse	O	O	O	-
,	O	O	O	-
de	O	O	O	-
leur	B-VEH	O	O	90
allure	O	O	O	-
continue	O	O	O	-
et	O	O	O	-
paresseuse	O	O	O	-
,	O	O	O	-
que	B-VEH	O	O	90
la	O	O	O	-
montée	O	O	O	-
ralentissait	O	O	O	-
encore	O	O	O	-
.	O	O	O	-
En	O	O	O	-
haut	O	O	O	-
,	O	O	O	-
sur	O	O	O	-
la	O	O	O	-
charge	O	O	O	-
des	O	O	O	-
légumes	O	O	O	-
,	O	O	O	-
allongés	O	O	O	-
à	O	O	O	-
plat	O	O	O	-
ventre	O	O	O	-
,	O	O	O	-
couverts	O	O	O	-
de	O	O	O	-
leur	B-PER	O	O	129
limousine	O	O	O	-
à	O	O	O	-
petites	O	O	O	-
raies	O	O	O	-
noires	O	O	O	-
et	O	O	O	-
grises	O	O	O	-
,	O	O	O	-
les	B-PER	O	O	129
charretiers	I-PER	O	O	-
sommeillaient	O	O	O	-
,	O	O	O	-
les	O	O	O	-
guides	O	O	O	-
aux	O	O	O	-
poignets	O	O	O	-
.	O	O	O	-
Un	O	O	O	-
bec	O	O	O	-
de	O	O	O	-
gaz	O	O	O	-
,	O	O	O	-
au	O	O	O	-
sortir	O	O	O	-
d'	O	O	O	-
une	O	O	O	-
nappe	O	O	O	-
d'	O	O	O	-
ombre	O	O	O	-
,	O	O	O	-
éclairait	O	O	O	-
les	O	O	O	-
clous	O	O	O	-
d'	O	O	O	-
un	O	O	O	-
soulier	O	O	O	-
,	O	O	O	-
la	O	O	O	-
manche	O	O	O	-
bleue	O	O	O	-
d'	O	O	O	-
une	O	O	O	-
blouse	O	O	O	-
,	O	O	O	-
le	O	O	O	-
bout	O	O	O	-
d'	O	O	O	-
une	O	O	O	-
casquette	O	O	O	-
,	O	O	O	-
entrevus	O	O	O	-
dans	O	O	O	-
cette	O	O	O	-
floraison	O	O	O	-
énorme	O	O	O	-
des	O	O	O	-
bouquets	O	O	O	-
rouges	O	O	O	-
des	O	O	O	-
carottes	O	O	O	-
,	O	O	O	-
des	O	O	O	-
bouquets	O	O	O	-
blancs	O	O	O	-
des	O	O	O	-
navets	O	O	O	-
,	O	O	O	-
des	O	O	O	-
verdures	O	O	O	-
débordantes	O	O	O	-
des	O	O	O	-
pois	O	O	O	-
et	O	O	O	-
des	O	O	O	-
choux	O	O	O	-
.	O	O	O	-
Et	O	O	O	-
,	O	O	O	-
sur	O	O	O	-
la	B-LOC	O	O	209
route	E-LOC	O	O	-
,	O	O	O	-
sur	O	O	O	-
les	B-LOC	O	O	213
routes	I-LOC	O	O	-
voisines	E-LOC	O	O	-
,	O	O	O	-
en	O	O	O	-
avant	O	O	O	-
et	O	O	O	-
en	O	O	O	-
arrière	O	O	O	-
,	O	O	O	-
des	O	O	O	-
ronflements	O	O	O	-
lointains	O	O	O	-
de	O	O	O	-
charrois	O	O	O	-
annonçaient	O	O	O	-
des	B-VEH	O	O	229
convois	I-VEH	O	O	-
pareils	E-VEH	O	O	-
,	O	O	O	-
tout	B-VEH	O	O	233
un	I-VEH	O	O	-
arrivage	I-VEH	O	O	-
traversant	O	O	O	-
les	O	O	O	-
ténèbres	O	O	O	-
et	O	O	O	-
le	O	O	O	-
gros	O	O	O	-
sommeil	O	O	O	-
de	O	O	O	-
deux	O	O	O	-
heures	O	O	O	-
du	O	O	O	-
matin	O	O	O	-
,	O	O	O	-
berçant	B-GPE	O	O	27
la	I-GPE	O	O	-
ville	I-GPE	O	O	-
noire	I-GPE	O	O	-
du	O	O	O	-
bruit	O	O	O	-
de	O	O	O	-
cette	O	O	O	-

de	O	O	O	-
l'	B-FAC	O	O	2
avenue	E-FAC	O	O	-
,	O	O	O	-
les	B-VEH	O	O	5
voitures	I-VEH	O	O	-
de	I-VEH	O	O	-
maraîchers	I-VEH	O	O	-
montaient	O	O	O	-
vers	O	O	O	-
Paris	S-GPE	O	O	11
,	O	O	O	-
avec	O	O	O	-
les	O	O	O	-
cahots	O	O	O	-
rythmés	O	O	O	-
de	O	O	O	-
leurs	B-VEH	O	O	5
roues	O	O	O	-
,	O	O	O	-
dont	O	O	O	-
les	O	O	O	-
échos	O	O	O	-
battaient	O	O	O	-
les	O	O	O	-
façades	O	O	O	-
des	B-LOC	O	O	27
maisons	E-LOC	O	O	-
,	O	O	O	-
endormies	O	O	O	-
aux	O	O	O	-
deux	O	O	O	-
bords	O	O	O	-
,	O	O	O	-
derrière	O	O	O	-
les	O	O	O	-
lignes	O	O	O	-
confuses	O	O	O	-
des	O	O	O	-
ormes	O	O	O	-
.	O	O	O	-
Un	O	O	O	-
tombereau	O	O	O	-
de	O	O	O	-
choux	O	O	O	-
