Madame	B-PER	O	O	1
de	I-PER	O	O	-
Hautefort	E-PER	O	O	-
Voici	O	O	O	-
maintenant	O	O	O	-
une	B-PER	O	O	1
toute	I-PER	O	O	-
autre	I-PER	O	O	-
personne	E-PER	O	O	-
,	O	O	O	-
qui	B-PER	O	O	1
va	O	O	O	-
nous	B-METALEPSE	O	O	13
ramener	O	O	O	-
parmi	O	O	O	-
les	O	O	O	-
mêmes	O	O	O	-
événemens	O	O	O	-
,	O	O	O	-
mais	O	O	O	-
qui	B-PER	O	O	1
y	O	O	O	-
portera	O	O	O	-
un	O	O	O	-
bien	O	O	O	-
différent	O	O	O	-
caractère	O	O	O	-
.	O	O	O	-
C'	S-PER	O	O	1
est	O	O	O	-
encore	O	O	O	-
une	B-PER	O	O	1
ennemie	E-PER	O	O	-
,	O	O	O	-
ce	B-PER	O	O	1
n'	O	O	O	-
est	O	O	O	-
plus	O	O	O	-
une	O	O	B-PER	1
rivale	O	O	I-PER	-
de	O	O	I-PER	-
Richelieu	B-PER	B-PER	I-PER	42
et	O	I-PER	I-PER	-
de	O	I-PER	I-PER	-
Mazarin	S-PER	E-PER	E-PER	45
.	O	O	O	-
La	B-PER	O	O	1
noble	I-PER	O	O	-
femme	I-PER	O	O	-
dont	B-PER	O	O	1
nous	B-METALEPSE	O	O	13
allons	O	O	O	-
retracer	O	O	O	-
la	O	O	O	-
vie	O	O	O	-
n'	O	O	O	-
appartient	B-PER	O	O	1
point	O	O	O	-
à	O	O	O	-
l'	O	O	O	-
histoire	O	O	O	-
politique	O	O	O	-
;	O	O	O	-
elle	B-PER	O	O	1
n'	O	O	O	-
est	O	O	O	-
point	O	O	O	-
de	O	O	O	-
la	O	O	B-PER	69
famille	O	O	I-PER	-
des	O	B-PER	I-PER	71
hommes	O	I-PER	I-PER	-
d'	O	I-PER	I-PER	-
état	B-GPE	I-PER	I-PER	74
;	O	O	O	-
elle	B-PER	O	O	1
n'	O	O	O	-
a	O	O	O	-
point	O	O	O	-
disputé	O	O	O	-
aux	B-PER	O	O	81
deux	I-PER	O	O	-
grands	I-PER	O	O	-
cardinaux	I-PER	O	O	-
leur	B-PER	O	O	81
pouvoir	O	O	O	-
et	O	O	O	-
le	O	B-ORG	O	88
gouvernement	O	I-ORG	O	-
de	O	I-ORG	O	-
la	B-GPE	I-ORG	O	74
France	I-GPE	I-ORG	O	-
;	O	O	O	-
elle	B-PER	O	O	1
a	O	O	O	-
refusé	O	O	O	-
seulement	O	O	O	-
de	O	O	O	-
leur	B-PER	O	O	81
livrer	O	O	O	-
son	B-PER	O	O	1
âme	O	O	O	-
,	O	O	O	-
de	O	O	O	-
trahir	O	O	O	-
pour	O	O	O	-
eux	B-PER	O	O	81
ses	B-PER	B-PER	O	1
amis	O	I-PER	O	-
et	O	O	O	-
sa	B-PER	O	O	1
cause	O	O	O	-
,	O	O	O	-
cette	O	O	O	-
cause	O	O	O	-
qui	O	O	O	-
lui	B-PER	O	O	1
semblait	O	O	O	-
celle	O	O	O	-
de	O	O	O	-
la	O	O	O	-
religion	O	O	O	-
et	O	O	O	-
de	O	O	O	-
la	O	O	O	-
vertu	O	O	O	-
.	O	O	O	-
Son	B-PER	O	O	1
grand	O	O	O	-
cœur	O	O	O	-
,	O	O	O	-
qu'	O	O	O	-
animait	O	O	O	-
une	O	O	O	-
flamme	O	O	O	-
héroïque	O	O	O	-
et	O	O	O	-
que	O	O	O	-
servaient	O	O	O	-
une	O	O	O	-
merveilleuse	O	O	O	-
beauté	O	O	O	-
et	O	O	O	-
un	O	O	O	-
esprit	O	O	O	-
adorable	O	O	O	-
,	O	O	O	-
toujours	O	O	O	-
contenu	O	O	O	-
par	O	O	O	-
la	O	O	O	-
dignité	O	O	O	-
et	O	O	O	-
la	O	O	O	-
pudeur	O	O	O	-
,	O	O	O	-
a	O	O	O	-
paru	O	O	O	-
surtout	O	O	O	-
dans	O	O	O	-
ses	B-PER	O	O	1
sacrifices	O	O	O	-
.	O	O	O	-
Après	O	O	O	-
avoir	O	O	O	-
été	O	O	O	-
la	O	B-PER	O	1
favorite	O	I-PER	O	-
d'	O	I-PER	O	-
un	B-PER	I-PER	O	170
roi	E-PER	E-PER	O	-
,	O	O	O	-
l'	O	B-PER	O	1
amie	O	I-PER	O	-
d'	O	I-PER	O	-
une	B-PER	I-PER	O	176
reine	E-PER	E-PER	O	-
,	O	O	O	-
l'	O	B-PER	O	1
idole	O	I-PER	O	-
de	O	I-PER	O	-
la	O	I-PER	O	-
cour	O	I-PER	O	-
la	O	I-PER	O	-
plus	O	I-PER	O	-
brillante	O	I-PER	O	-
de	O	I-PER	O	-
l'	B-LOC	I-PER	O	188
univers	E-LOC	E-PER	O	-
,	O	O	O	-
dès	O	O	O	-
que	O	O	O	-
le	O	O	O	-
devoir	O	O	O	-
a	O	O	O	-
parlé	O	O	O	-
,	O	O	O	-
elle	B-PER	O	O	1
a	O	O	O	-
été	O	O	O	-
au	O	O	O	-
-	O	O	O	-
devant	O	O	O	-
de	O	O	O	-
la	O	O	O	-
disgrâce	O	O	O	-
,	O	O	O	-
elle	B-PER	O	O	1
s'	O	O	O	-
est	O	O	O	-
retirée	O	O	O	-
du	O	O	O	-
monde	O	O	O	-
,	O	O	O	-
elle	B-PER	O	O	1
a	O	O	O	-
caché	O	O	O	-
et	O	O	O	-
comme	O	O	O	-
enseveli	O	O	O	-
sous	O	O	O	-
les	O	O	O	-
voiles	O	O	O	-
et	O	O	O	-
dans	O	O	O	-
l'	O	O	O	-
ombre	O	O	O	-
de	O	O	O	-
la	O	O	O	-
vertu	O	O	O	-
les	O	O	O	-
dons	O	O	O	-
les	O	O	O	-
plus	O	O	O	-
rares	O	O	O	-
que	O	O	O	-
Dieu	B-NO_PER	O	O	237
ait	O	O	O	-
jamais	O	O	O	-
départis	O	O	O	-
à	O	O	O	-
une	B-PER	O	O	242
créature	I-PER	O	O	-
humaine	E-PER	O	O	-
.	O	O	O	-
Elle	B-PER	O	O	1
n'	O	O	O	-
a	O	O	O	-
point	O	O	O	-
laissé	O	O	O	-
de	O	O	O	-
nom	O	O	O	-
dans	O	O	O	-
l'	O	O	O	-
histoire	O	O	O	-
,	O	O	O	-

mêmes	O	O	O	-
événemens	O	O	O	-
,	O	O	O	-
mais	O	O	O	-
qui	B-PER	O	O	5
y	O	O	O	-
portera	O	O	O	-
un	O	O	O	-
bien	O	O	O	-
différent	O	O	O	-
caractère	O	O	O	-
.	O	O	O	-
C'	S-PER	O	O	5
est	O	O	O	-
encore	O	O	O	-
une	B-PER	O	O	5
ennemie	E-PER	O	O	-
,	O	O	O	-
ce	B-PER	O	O	5
n'	O	O	O	-
est	O	O	O	-
plus	O	O	O	-
une	O	O	B-PER	5
rivale	O	O	I-PER	-
de	O	O	I-PER	-
Richelieu	B-PER	B-PER	I-PER	26
et	O	I-PER	I-PER	-
de	O	I-PER	I-PER	-
Mazarin	S-PER	E-PER	E-PER	29
.	O	O	O	-
La	B-PER	O	O	5
noble	I-PER	O	O	-
femme	I-PER	O	O	-
dont	B-PER	O	O	5
nous	B-METALEPSE	O	O	35
allons	O	O	O	-
retracer	O	O	O	-
la	O	O	O	-
vie	O	O	O	-
n'	O	O	O	-
appartient	B-PER	O	O	5
point	O	O	O	-
à	O	O	O	-
l'	O	O	O	-
histoire	O	O	O	-
politique	O	O	O	-
;	O	O	O	-
elle	B-PER	O	O	5
n'	O	O	O	-
est	O	O	O	-
point	O	O	O	-
de	O	O	O	-
la	O	O	B-PER	53
famille	O	O	I-PER	-
des	O	B-PER	I-PER	55
hommes	O	I-PER	I-PER	-
d'	O	I-PER	I-PER	-
état	B-GPE	I-PER	I-PER	58
;	O	O	O	-
elle	B-PER	O	O	5
n'	O	O	O	-
a	O	O	O	-
point	O	O	O	-
disputé	O	O	O	-
aux	B-PER	O	O	65
deux	I-PER	O	O	-
grands	I-PER	O	O	-
cardinaux	I-PER	O	O	-
leur	B-PER	O	O	65
pouvoir	O	O	O	-
et	O	O	O	-
le	O	B-ORG	O	72
gouvernement	O	I-ORG	O	-
de	O	I-ORG	O	-
la	B-GPE	I-ORG	O	58
France	I-GPE	I-ORG	O	-
;	O	O	O	-
elle	B-PER	O	O	5
a	O	O	O	-
refusé	O	O	O	-
seulement	O	O	O	-
de	O	O	O	-
leur	B-PER	O	O	65
livrer	O	O	O	-
son	B-PER	O	O	5
âme	O	O	O	-
,	O	O	O	-
de	O	O	O	-
trahir	O	O	O	-
pour	O	O	O	-
eux	B-PER	O	O	65
ses	B-PER	B-PER	O	5
amis	O	I-PER	O	-
et	O	O	O	-
sa	B-PER	O	O	5
cause	O	O	O	-
,	O	O	O	-
cette	O	O	O	-
cause	O	O	O	-
qui	O	O	O	-
lui	B-PER	O	O	5
semblait	O	O	O	-
celle	O	O	O	-
de	O	O	O	-
la	O	O	O	-
religion	O	O	O	-
et	O	O	O	-
de	O	O	O	-
la	O	O	O	-
vertu	O	O	O	-
.	O	O	O	-
Son	B-PER	O	O	5
grand	O	O	O	-
cœur	O	O	O	-
,	O	O	O	-
qu'	O	O	O	-
animait	O	O	O	-
une	O	O	O	-
flamme	O	O	O	-
héroïque	O	O	O	-
et	O	O	O	-
que	O	O	O	-
servaient	O	O	O	-
une	O	O	O	-
merveilleuse	O	O	O	-
beauté	O	O	O	-
et	O	O	O	-
un	O	O	O	-
esprit	O	O	O	-
adorable	O	O	O	-
,	O	O	O	-
toujours	O	O	O	-
contenu	O	O	O	-
par	O	O	O	-
la	O	O	O	-
dignité	O	O	O	-
et	O	O	O	-
la	O	O	O	-
pudeur	O	O	O	-
,	O	O	O	-
a	O	O	O	-
paru	O	O	O	-
surtout	O	O	O	-
dans	O	O	O	-
ses	B-PER	O	O	5
sacrifices	O	O	O	-
.	O	O	O	-
Après	O	O	O	-
avoir	O	O	O	-
été	O	O	O	-
la	O	B-PER	O	5
favorite	O	I-PER	O	-
d'	O	I-PER	O	-
un	B-PER	I-PER	O	154
roi	E-PER	E-PER	O	-
,	O	O	O	-
l'	O	B-PER	O	5
amie	O	I-PER	O	-
d'	O	I-PER	O	-
une	B-PER	I-PER	O	160
reine	E-PER	E-PER	O	-
,	O	O	O	-
l'	O	B-PER	O	5
idole	O	I-PER	O	-
de	O	I-PER	O	-
la	O	I-PER	O	-
cour	O	I-PER	O	-
la	O	I-PER	O	-
plus	O	I-PER	O	-
brillante	O	I-PER	O	-
de	O	I-PER	O	-
l'	B-LOC	I-PER	O	172
univers	E-LOC	E-PER	O	-
,	O	O	O	-
dès	O	O	O	-
que	O	O	O	-
le	O	O	O	-
devoir	O	O	O	-
a	O	O	O	-
parlé	O	O	O	-
,	O	O	O	-
elle	B-PER	O	O	5
a	O	O	O	-
été	O	O	O	-
au	O	O	O	-
-	O	O	O	-
devant	O	O	O	-
de	O	O	O	-
la	O	O	O	-
disgrâce	O	O	O	-
,	O	O	O	-
elle	B-PER	O	O	5
s'	O	O	O	-
est	O	O	O	-
retirée	O	O	O	-
