Adèle	O	O	O
Bourgeois	O	O	O
Némoville	O	O	O
Beauregard	O	O	O
,	O	O	O
1917	O	O	O
(	O	O	O
pp	O	O	O
.	O	O	O

9	O	O	O
-	O	O	O
13	O	O	O
)	O	O	O
.	O	O	O

Chapitre	O	O	O
I	O	O	O
.	O	O	O

L'	O	O	O
Abbé	O	O	O
Bernard	O	O	O
On	O	O	O
était	O	O	O
au	O	O	O
vingt	O	O	O
-	O	O	O
quatre	O	O	O
octobre	O	O	O
1875	O	O	O
,	O	O	O
à	O	O	O
huit	O	O	O
heures	O	O	O
du	O	O	O
soir	O	O	O
.	O	O	O

La	O	O	O
soirée	O	O	O
était	O	O	O
magnifique	O	O	O
,	O	O	O
quoiqu'	O	O	O
un	O	O	O
peu	O	O	O
fraîche	O	O	O
.	O	O	O

Dans	O	O	O
les	O	B-FAC	O
allées	O	I-FAC	O
d'	O	I-FAC	O
un	B-FAC	I-FAC	O
jardin	E-FAC	E-FAC	O
,	O	O	O
qui	O	O	O
contenait	O	O	O
encore	O	O	O
quelques	O	O	O
fleurs	O	O	O
tardives	O	O	O
,	O	O	O
un	B-PER	O	O
prêtre	E-PER	O	O
se	O	O	O
promenait	O	O	O
en	O	O	O
récitant	O	O	O
dévotement	O	O	O
son	O	O	O
rosaire	O	O	O
.	O	O	O

Ce	B-PER	O	O
prêtre	E-PER	O	O
pouvait	O	O	O
avoir	O	O	O
quarante	O	O	O
ans	O	O	O
,	O	O	O
ou	O	O	O
quarante	O	O	O
-	O	O	O
cinq	O	O	O
,	O	O	O
peut	O	O	O
-	O	O	O
être	O	O	O
.	O	O	O

Sa	O	O	O
figure	O	O	O
intelligente	O	O	O
et	O	O	O
belle	O	O	O
,	O	O	O
était	O	O	O
jeune	O	O	O
encore	O	O	O
,	O	O	O
quoique	O	O	O
des	O	O	O
cheveux	O	O	O
blancs	O	O	O
se	O	O	O
mêlassent	O	O	O
à	O	O	O
ses	O	O	O
cheveux	O	O	O
blonds	O	O	O
.	O	O	O

Ce	B-PER	O	O
prêtre	E-PER	O	O
c'	O	O	O
était	O	O	O
l'	B-PER	O	O
abbé	I-PER	O	O
Bernard	E-PER	O	O
.	O	O	O

Sa	O	O	O
santé	O	O	O
chancelante	O	O	O
ne	O	O	O
lui	O	O	O
permettait	O	O	O
pas	O	O	O
d'	O	O	O
exercer	O	O	O
le	O	O	O
saint	O	O	O
ministère	O	O	O
,	O	O	O
et	O	O	O
il	O	O	O
était	O	O	O
en	O	O	O
visite	O	O	O
chez	O	O	O
un	O	B-PER	O
curé	O	I-PER	O
