Audoux- O	O	O	
Douce B-PER	O	O	
Lumiere I-PER	O	O	
Audoux- O	O	O	
Douce B-PER	O	O	
Lumiere I-PER	O	O	
1 O	O	O	
7-31 O	O	O	
I O	O	O	
Depuis O	O	O	
son O	O	O	
lever O	O	O	
, O	O	O	
tout O	O	O	
comme O	O	O	
les O	O	O	
autres O	O	O	
jours O	O	O	
, O	O	O	
elle O	O	O	
joue O	O	O	
avec O	O	O	
son B-NO_PER	O	O	
chien I-NO_PER	O	O	
. O	O	O	

Elle O	O	O	
joue O	O	O	
à O	O	O	
courir O	O	O	
dans O	O	O	
le B-FAC	O	O	
verger I-FAC	O	O	
qui O	O	O	
entoure O	O	O	
la B-FAC	O	O	
très I-FAC	O	O	
vieille I-FAC	O	O	
maison I-FAC	O	O	
où O	O	O	
, O	O	O	
par O	O	O	
un O	B-TIME	O	
clair O	I-TIME	O	
matin O	I-TIME	O	
de O	I-TIME	O	
mai B-TIME	I-TIME	O	
, O	O	O	
sa O	O	O	
venue O	O	O	
au O	O	O	
monde O	O	O	
apporta O	O	O	
aux O	O	O	
siens O	O	O	
l' O	O	O	
angoisse O	O	O	
, O	O	O	
le O	O	O	
deuil O	O	O	
et O	O	O	
un O	O	O	
désespoir O	O	O	
sans O	O	O	
limite O	O	O	
. O	O	O	

Aujourd' O	O	O	
hui O	O	O	
, O	O	O	
elle O	O	O	
a O	O	O	
sept B-TIME	O	O	
ans I-TIME	O	O	
et O	O	O	
c' O	O	O	
est O	O	O	
encore O	O	O	
un O	O	O	
clair O	O	O	
matin O	O	O	
de O	O	O	
mai B-TIME	O	O	
. O	O	O	

Et O	O	O	
si O	O	O	
la B-FAC	O	O	
vieille I-FAC	O	O	
maison I-FAC	O	O	
reste O	O	O	
grise O	O	O	
et O	O	O	
triste O	O	O	
sous O	O	O	
les O	O	O	
rayons O	O	O	
du O	O	O	
frais O	O	O	
soleil O	O	O	
, O	O	O	
le B-FAC	O	O	
verger I-FAC	O	O	
brille O	O	O	
, O	O	O	
embaume O	O	O	
et O	O	O	
jette O	O	O	
au O	O	O	
vent O	O	O	
les O	O	O	
mille O	O	O	
et O	O	O	
une O	O	O	
fleurettes O	O	O	
qui O	O	O	
se O	O	O	
séparent O	O	O	
, O	O	O	
comme O	O	O	
à O	O	O	
regret O	O	O	
, O	O	O	
des O	O	O	
fruits O	O	O	
naissants O	O	O	
. O	O	O	

La B-PER	O	O	
fillette I-PER	O	O	
court O	O	O	
pieds O	O	O	
nus O	O	O	
, O	O	O	
tête O	O	O	
nue O	O	O	
, O	O	O	
bras O	O	O	
nus O	O	O	
