II O	O	O	
. O	O	O	

L’ O	O	O	
alba O	O	O	
vinceva O	O	O	
l’ O	O	O	
ora O	O	O	
mattutina O	O	O	
Che O	O	O	
fuggia O	O	O	
innanzi O	O	O	
, O	O	O	
si O	O	O	
che O	O	O	
di O	O	O	
lontano O	O	O	
Conobbi O	O	O	
il O	O	O	
tremolar O	O	O	
della O	O	O	
marina O	O	O	
… O	O	O	
 O	O	O	
PURG O	O	O	
. O	O	O	

I O	O	O	
. O	O	O	

Les B-PER	O	O	
Krafft I-PER	O	O	
étaient O	O	O	
originaires O	O	O	
d’ O	O	O	
Anvers B-GPE	O	O	
. O	O	O	

Le B-PER	O	O	
vieux I-PER	O	O	
Jean-Michel I-PER	O	O	
avait O	O	O	
quitté O	O	O	
le B-GPE	O	O	
pays I-GPE	O	O	
, O	O	O	
à O	O	O	
la O	O	O	
suite O	O	O	
de O	O	O	
frasques O	O	O	
de O	O	O	
jeunesse O	O	O	
, O	O	O	
d’ O	O	O	
une O	O	O	
rixe O	O	O	
violente O	O	O	
, O	O	O	
comme O	O	O	
il O	O	O	
en O	O	O	
avait O	O	O	
souvent O	O	O	
, O	O	O	
– O	O	O	
 O	O	O	
car O	O	O	
il O	O	O	
était O	O	O	
diablement O	O	O	
batailleur O	O	O	
, O	O	O	
– O	O	O	
 O	O	O	
et O	O	O	
qui O	O	O	
avait O	O	O	
eu O	O	O	
cette O	O	O	
fois O	O	O	
un O	O	O	
fâcheux O	O	O	
dénouement O	O	O	
. O	O	O	

Il O	O	O	
était O	O	O	
venu O	O	O	
s’ O	O	O	
établir O	O	O	
, O	O	O	
presque O	O	O	
un B-TIME	O	O	
demi-siècle I-TIME	O	O	
avant O	O	O	
, O	O	O	
dans O	O	O	
la B-LOC	O	O	
petite I-LOC	O	O	
ville I-LOC	O	O	
princière I-LOC	O	O	
, O	O	O	
dont O	O	O	
les O	O	O	
toits O	O	O	
rouges O	O	O	
aux O	O	O	
faites O	O	O	
pointus O	O	O	
et O	O	O	
les O	O	B-FAC	
jardins O	O	I-FAC	
ombreux O	O	I-FAC	
, O	O	I-FAC	
étagés O	O	I-FAC	
sur O	O	I-FAC	
la O	B-LOC	I-FAC	
pente O	I-LOC	I-FAC	
d’ O	I-LOC	I-FAC	
une B-LOC	I-LOC	I-FAC	
molle I-LOC	I-LOC	I-FAC	
colline I-LOC	I-LOC	I-FAC	
, O	O	O	
se O	O	O	
mirent O	O	O	
dans O	O	O	
les O	O	O	
yeux O	O	O	
vert O	O	O	
pâle O	O	O	
du B-PER	O	O	
Vater I-PER	O	O	
Rhein I-PER	O	O	
. O	O	O	

Excellent O	O	O	
musicien O	O	O	
, O	O	O	
il O	O	O	
s’ O	O	O	
était O	O	O	
fait O	O	O	
promptement O	O	O	
apprécier O	O	O	
dans O	O	O	
un B-LOC	O	O	
pays I-LOC	O	O	
où O	O	O	
tous O	O	O	
sont O	O	O	
musiciens B-PER	O	O	
. O	O	O	

Il O	O	O	
y O	O	O	
avait O	O	O	
pris O	O	O	
racine O	O	O	
en O	O	O	
épousant O	O	O	
, O	O	O	
à O	O	O	
quarante O	O	O	
ans O	O	O	
passés O	O	O	
, O	O	O	
Clara B-PER	O	O	
Sartorius I-PER	O	O	
, O	O	O	
la O	O	O	
fille O	O	O	
du O	O	B-PER	
maître O	O	I-PER	
de O	O	I-PER	
chapelle O	B-FAC	I-PER	
du B-PER	I-FAC	I-PER	
prince I-PER	I-FAC	I-PER	
, O	O	O	
qui O	O	O	
lui O	O	O	
transmit O	O	O	
sa O	O	O	
charge O	O	O	
. O	O	O	

Clara B-PER	O	O	
était O	O	O	
une B-PER	O	O	
Allemande I-PER	O	O	
placide I-PER	O	O	
qui O	O	O	
avait O	O	O	
deux O	O	O	
passions O	O	O	
: O	O	O	
la O	O	O	
cuisine O	O	O	
et O	O	O	
la O	O	O	
musique O	O	O	
. O	O	O	

Elle O	O	O	
eut O	O	O	
pour O	O	O	
son B-PER	O	O	
mari I-PER	O	O	
un O	O	O	
culte O	O	O	
qu’ O	O	O	
égalait O	O	O	
seul O	O	O	
celui O	O	O	
qu’ O	O	O	
elle O	O	O	
avait O	O	O	
pour O	O	O	
son B-PER	O	O	
père I-PER	O	O	
. O	O	O	

Jean-Michel B-PER	O	O	
n’ O	O	O	
admirait O	O	O	
pas O	O	O	
moins O	O	O	
sa B-PER	O	O	
femme I-PER	O	O	
. O	O	O	

Ils O	O	O	
avaient O	O	O	
vécu O	O	O	
en O	O	O	
parfait O	O	O	
accord O	O	O	
, O	O	O	
pendant O	O	O	
quinze B-TIME	O	O	
ans I-TIME	O	O	
; O	O	O	
et O	O	O	
ils O	O	O	
avaient O	O	O	
eu O	O	O	
quatre B-PER	O	O	
enfants I-PER	O	O	
. O	O	O	

Puis O	O	O	
Clara B-PER	O	O	
était O	O	O	
morte O	O	O	
; O	O	O	
et O	O	O	
Jean-Michel B-PER	O	O	
, O	O	O	
après O	O	O	
l’ O	O	O	
avoir O	O	O	
beaucoup O	O	O	
pleurée O	O	O	
, O	O	O	
avait O	O	O	
épousé O	O	O	
cinq B-TIME	O	O	
mois I-TIME	O	O	
plus O	O	O	
tard O	O	O	
Ottilie B-PER	O	O	
Schutz I-PER	O	O	
, O	O	O	
une O	O	O	
fille O	O	O	
de O	O	O	
vingt O	O	O	
ans O	O	O	
, O	O	O	
aux O	O	O	
joues O	O	O	
rouges O	O	O	
, O	O	O	
robuste O	O	O	
et O	O	O	
rieuse O	O	O	
. O	O	O	

Ottilie B-PER	O	O	
avait O	O	O	
juste O	O	O	
autant O	O	O	
de O	O	O	
qualités O	O	O	
que O	O	O	
Clara B-PER	O	O	
, O	O	O	
et O	O	O	
Jean-Michel B-PER	O	O	
l’ O	O	O	
avait O	O	O	
aimée O	O	O	
juste O	O	O	
autant O	O	O	
. O	O	O	

Après O	O	O	
huit B-TIME	O	O	
ans I-TIME	O	O	
de I-TIME	O	O	
mariage I-TIME	O	O	
, O	O	O	
elle O	O	O	
mourut O	O	O	
à O	O	O	
son O	O	O	
tour O	O	O	
, O	O	O	
non O	O	O	
sans O	O	O	
avoir O	O	O	
eu O	O	O	
le O	O	O	
temps O	O	O	
de O	O	O	
lui O	O	O	
faire O	O	O	
sept B-PER	O	O	
enfants I-PER	O	O	
. O	O	O	

Au O	O	O	
total O	O	O	
, O	O	O	
onze B-PER	O	O	
enfants I-PER	O	O	
, O	O	O	
dont O	O	O	
un B-PER	O	O	
seul I-PER	O	O	
avait O	O	O	
survécu O	O	O	
. O	O	O	

Bien O	O	O	
qu’ O	O	O	
il O	O	O	
les O	O	O	
aimât O	O	O	
fort O	O	O	
, O	O	O	
tant O	O	O	
de O	O	O	
coups O	O	O	
répétés O	O	O	
n’ O	O	O	
avaient O	O	O	
pas O	O	O	
altéré O	O	O	
sa O	O	O	
solide O	O	O	
bonne O	O	O	
humeur O	O	O	
. O	O	O	

L’ O	O	O	
épreuve O	O	O	
la O	O	O	
plus O	O	O	
rude O	O	O	
avait O	O	O	
été O	O	O	
la O	O	O	
mort O	O	O	
d’ O	O	O	
Ottilie B-PER	O	O	
, O	O	O	
il O	O	O	
y O	O	O	
avait O	O	O	
trois B-TIME	O	O	
ans I-TIME	O	O	
maintenant O	O	O	
, O	O	O	
à O	O	O	
un O	O	O	
âge O	O	O	
où O	O	O	
il O	O	O	
est O	O	O	
malaisé O	O	O	
de O	O	O	
se O	O	O	
rebâtir O	O	O	
une O	O	O	
vie O	O	O	
et O	O	O	
de O	O	O	
fonder O	O	O	
un O	O	O	
nouveau O	O	O	
foyer O	O	O	
. O	O	O	

Mais O	O	O	
après O	O	O	
un O	O	O	
moment O	O	O	
de O	O	O	
désarroi O	O	O	
, O	O	O	
le B-PER	O	O	
vieux I-PER	O	O	
Jean-Michel I-PER	O	O	
avait O	O	O	
repris O	O	O	
son O	O	O	
équilibre O	O	O	
moral O	O	O	
, O	O	O	
qu’ O	O	O	
aucun O	O	O	
malheur O	O	O	
n’ O	O	O	
était O	O	O	
capable O	O	O	
de O	O	O	
lui O	O	O	
faire O	O	O	
perdre O	O	O	
. O	O	O	

C’ O	O	O	
était O	O	O	
un B-PER	O	O	
homme I-PER	O	O	
affectueux I-PER	O	O	
; O	O	O	
mais O	O	O	
la O	O	O	
santé O	O	O	
chez O	O	O	
lui O	O	O	
était O	O	O	
plus O	O	O	
forte O	O	O	
que O	O	O	
tout O	O	O	
. O	O	O	

Il O	O	O	
avait O	O	O	
une O	O	O	
répulsion O	O	O	
physique O	O	O	
pour O	O	O	
la O	O	O	
tristesse O	O	O	
, O	O	O	
et O	O	O	
un O	O	O	
besoin O	O	O	
de O	O	O	
grosse O	O	O	
gaieté O	O	O	
à O	O	O	
la O	O	O	
flamande O	O	O	
, O	O	O	
un O	O	O	
rire O	O	O	
énorme O	O	O	
et O	O	O	
enfantin O	O	O	
. O	O	O	

Quelque O	O	O	
chagrin O	O	O	
qu’ O	O	O	
il O	O	O	
eût O	O	O	
, O	O	O	
il O	O	O	
n’ O	O	O	
en O	O	O	
buvait O	O	O	
pas O	O	O	
une O	O	O	
rasade O	O	O	
de O	O	O	
moins O	O	O	
, O	O	O	
ni O	O	O	
n’ O	O	O	
en O	O	O	
perdait O	O	O	
un O	O	O	
coup O	O	O	
de O	O	O	
dent O	O	O	
à O	O	O	
table O	O	O	
; O	O	O	
et O	O	O	
la O	O	O	
musique O	O	O	
ne O	O	O	
chômait O	O	O	
jamais O	O	O	
. O	O	O	

Sous O	O	O	
sa O	O	O	
direction O	O	O	
, O	O	O	
l’ O	B-ORG	O	
orchestre O	I-ORG	O	
de O	I-ORG	O	
la B-ORG	I-ORG	O	
Cour I-ORG	I-ORG	O	
acquit O	O	O	
une O	O	O	
petite O	O	O	
célébrité O	O	O	
dans O	O	O	
les B-LOC	O	O	
pays I-LOC	O	O	
rhénans I-LOC	O	O	
, O	O	O	
où O	O	O	
Jean-Michel B-PER	O	O	
était O	O	O	
devenu O	O	O	
légendaire O	O	O	
par O	O	O	
sa O	O	O	
stature O	O	O	
athlétique O	O	O	
et O	O	O	
par O	O	O	
ses O	O	O	
accès O	O	O	
de O	O	O	
colère O	O	O	
. O	O	O	

Il O	O	O	
ne O	O	O	
pouvait O	O	O	
se O	O	O	
maîtriser O	O	O	
malgré O	O	O	
tous O	O	O	
ses O	O	O	
efforts O	O	O	
: O	O	O	
car O	O	O	
cet B-PER	O	O	
homme I-PER	O	O	
violent I-PER	O	O	
était O	O	O	
au O	O	O	
fond O	O	O	
timide O	O	O	
et O	O	O	
craignait O	O	O	
de O	O	O	
se O	O	O	
compromettre O	O	O	
; O	O	O	
il O	O	O	
aimait O	O	O	
le O	O	O	
décorum O	O	O	
et O	O	O	
redoutait O	O	O	
l’ O	O	O	
opinion O	O	O	
. O	O	O	

Mais O	O	O	
son O	O	O	
sang O	O	O	
l’ O	O	O	
emportait O	O	O	
: O	O	O	
il O	O	O	
voyait O	O	O	
rouge O	O	O	
; O	O	O	
et O	O	O	
il O	O	O	
était O	O	O	
pris O	O	O	
