MADEMOISELLE O	O	O	
FIFI O	O	O	
FOU O	O	O	
? O	O	O	
Suis-je O	O	O	
fou O	O	O	
? O	O	O	
ou O	O	O	
seulement O	O	O	
jaloux O	O	O	
? O	O	O	
Je O	O	O	
n' O	O	O	
en O	O	O	
sais O	O	O	
rien O	O	O	
, O	O	O	
mais O	O	O	
j' O	O	O	
ai O	O	O	
souffert O	O	O	
horriblement O	O	O	
. O	O	O	

J' O	O	O	
ai O	O	O	
accompli O	O	O	
un O	O	O	
acte O	O	O	
de O	O	O	
folie O	O	O	
, O	O	O	
de O	O	O	
folie O	O	O	
furieuse O	O	O	
, O	O	O	
c' O	O	O	
est O	O	O	
vrai O	O	O	
; O	O	O	
mais O	O	O	
la O	O	O	
jalousie O	O	O	
haletante O	O	O	
, O	O	O	
mais O	O	O	
l' O	O	O	
amour O	O	O	
exalté O	O	O	
, O	O	O	
trahi O	O	O	
, O	O	O	
condamné O	O	O	
, O	O	O	
mais O	O	O	
la O	O	O	
douleur O	O	O	
abominable O	O	O	
que O	O	O	
j' O	O	O	
endure O	O	O	
, O	O	O	
tout O	O	O	
cela O	O	O	
ne O	O	O	
suffit-il O	O	O	
pas O	O	O	
pour O	O	O	
nous O	O	O	
faire O	O	O	
commettre O	O	O	
des O	O	O	
crimes O	O	O	
et O	O	O	
des O	O	O	
folies O	O	O	
sans O	O	O	
être O	O	O	
vraiment O	O	O	
criminel O	O	O	
par O	O	O	
le O	O	O	
coeur O	O	O	
ou O	O	O	
par O	O	O	
le O	O	O	
cerveau O	O	O	
? O	O	O	
Oh O	O	O	
! O	O	O	
j' O	O	O	
ai O	O	O	
souffert O	O	O	
, O	O	O	
souffert O	O	O	
, O	O	O	
souffert O	O	O	
d' O	O	O	
une O	O	O	
façon O	O	O	
continue O	O	O	
, O	O	O	
aiguë O	O	O	
, O	O	O	
épouvantable O	O	O	
. O	O	O	

J' O	O	O	
ai O	O	O	
aimé O	O	O	
cette B-PER	O	O	
femme I-PER	O	O	
d' O	O	O	
un O	O	O	
élan O	O	O	
frénétique O	O	O	
.. O	O	O	

. O	O	O	

. O	O	O	

Et O	O	O	
cependant O	O	O	
est-ce O	O	O	
vrai O	O	O	
? O	O	O	
L' O	O	O	
ai-je O	O	O	
aimée O	O	O	
? O	O	O	
Non O	O	O	
, O	O	O	
non O	O	O	
, O	O	O	
non O	O	O	
. O	O	O	

Elle O	O	O	
m' O	O	O	
a O	O	O	
possédé O	O	O	
âme O	O	O	
et O	O	O	
corps O	O	O	
, O	O	O	
envahi O	O	O	
, O	O	O	
lié O	O	O	
. O	O	O	

J' O	O	O	
ai O	O	O	
été O	O	O	
, O	O	O	
je O	O	O	
suis O	O	O	
sa B-PER	O	O	
chose I-PER	O	O	
, O	O	O	
son B-PER	O	O	
jouet I-PER	O	O	
. O	O	O	

J' O	O	O	
appartiens O	O	O	
à O	O	O	
son B-PER	O	O	
sourire I-PER	O	O	
, I-PER	O	O	
à I-PER	O	O	
sa I-PER	O	O	
bouche I-PER	O	O	
, I-PER	O	O	
à I-PER	O	O	
son I-PER	O	O	
regard I-PER	O	O	
, I-PER	O	O	
aux I-PER	O	O	
lignes I-PER	O	O	
de I-PER	O	O	
son I-PER	O	O	
corps I-PER	O	O	
, I-PER	O	O	
à I-PER	O	O	
la I-PER	O	O	
forme I-PER	O	O	
de I-PER	O	O	
son I-PER	O	O	
visage I-PER	O	O	
; O	O	O	
je O	O	O	
halète O	O	O	
sous O	O	O	
la O	O	O	
domination O	O	O	
de O	O	O	
son O	O	O	
