George O	O	O	
Sand O	O	O	
Nouvelle O	O	O	
ÉDition O	O	O	
Paris O	O	O	
Calmann O	O	O	
LÉVy O	O	O	
, O	O	O	
ÉDiteur O	O	O	
Ancienne O	O	O	
Maison O	O	O	
Michel O	O	O	
LÉVy O	O	O	
FrÈRes O	O	O	
3 O	O	O	
, O	O	O	
rue O	O	O	
auber O	O	O	
, O	O	O	
3 O	O	O	
— O	O	O	
1881 O	O	O	
Droits O	O	O	
de O	O	O	
reproduction O	O	O	
et O	O	O	
de O	O	O	
traduction O	O	O	
réservés O	O	O	
I O	O	O	
Il O	O	O	
y O	O	O	
a O	O	O	
trois B-TIME	O	O	
ans I-TIME	O	O	
, O	O	O	
il O	O	O	
arriva O	O	O	
à O	O	O	
Saint-Front B-GPE	O	O	
, O	O	O	
petite O	O	O	
ville O	O	O	
fort O	O	O	
laide O	O	O	
qui O	O	O	
est O	O	O	
située O	O	O	
dans O	O	O	
nos B-LOC	O	O	
environs I-LOC	O	O	
et O	O	O	
que O	O	O	
je O	O	O	
ne O	O	O	
vous O	O	O	
engage O	O	O	
pas O	O	O	
à O	O	O	
chercher O	O	O	
sur O	O	O	
la O	O	O	
carte O	O	O	
, O	O	O	
même O	O	O	
sur O	O	O	
celle O	O	O	
de O	O	O	
Cassini B-PER	O	O	
, O	O	O	
une B-HIST	O	O	
aventure I-HIST	O	O	
qui O	O	O	
fit O	O	O	
beaucoup O	O	O	
jaser O	O	O	
, O	O	O	
quoiqu' O	O	O	
elle O	O	O	
n' O	O	O	
eût O	O	O	
rien O	O	O	
de O	O	O	
bien O	O	O	
intéressant O	O	O	
par O	O	O	
elle-même O	O	O	
, O	O	O	
mais O	O	O	
dont O	O	O	
les O	O	O	
suites O	O	O	
, O	O	O	
furent O	O	O	
fort O	O	O	
graves O	O	O	
, O	O	O	
quoiqu' O	O	O	
on O	O	O	
n' O	O	O	
en O	O	O	
ait O	O	O	
rien O	O	O	
su O	O	O	
. O	O	O	

C' O	O	O	
était O	O	O	
par O	O	O	
une B-TIME	O	O	
nuit I-TIME	O	O	
sombre I-TIME	O	O	
et O	O	O	
par O	O	O	
une O	O	O	
pluie O	O	O	
froide O	O	O	
. O	O	O	

Une B-VEH	O	O	
chaise I-VEH	O	O	
de I-VEH	O	O	
poste I-VEH	O	O	
entra O	O	O	
dans O	O	O	
la O	O	B-FAC	
cour O	O	I-FAC	
de O	O	I-FAC	
l' O	B-FAC	I-FAC	
auberge O	I-FAC	I-FAC	
du B-ORG	I-FAC	I-FAC	
Lion-Couronné I-ORG	I-FAC	I-FAC	
. O	O	O	

Une O	O	O	
voix O	O	O	
de O	O	O	
femme B-PER	O	O	
demanda O	O	O	
des B-VEH	O	O	
chevaux I-VEH	O	O	
, O	O	O	
vite O	O	O	
, O	O	O	
vite O	O	O	
! O	O	O	
… O	O	O	
 O	O	O	
Le B-PER	O	O	
postillon I-PER	O	O	
vint O	O	O	
lui O	O	O	
répondre O	O	O	
fort O	O	O	
lentement O	O	O	
que O	O	O	
cela O	O	O	
était O	O	O	
facile O	O	O	
à O	O	O	
dire O	O	O	
; O	O	O	
qu' O	O	O	
il O	O	O	
n' O	O	O	
y O	O	O	
avait O	O	O	
pas O	O	O	
de O	O	O	
chevaux B-VEH	O	O	
, O	O	O	
vu O	O	O	
que O	O	O	
l' B-HIST	O	O	
épidémie I-HIST	O	O	
( O	O	O	
cette O	O	O	
même O	O	O	
épidémie O	O	O	
qui O	O	O	
est O	O	O	
en O	O	O	
permanence O	O	O	
dans O	O	O	
certains O	B-FAC	O	
relais O	I-FAC	O	
sur O	I-FAC	O	
les B-FAC	I-FAC	O	
routes I-FAC	I-FAC	O	
peu I-FAC	I-FAC	O	
fréquentées I-FAC	I-FAC	O	
) O	O	O	
en O	O	O	
avait O	O	O	
enlevé O	O	O	
trente-sept O	O	O	
la B-TIME	O	O	
semaine I-TIME	O	O	
dernière I-TIME	O	O	
; O	O	O	
qu' O	O	O	
enfin O	O	O	
on O	O	O	
pourrait O	O	O	
partir O	O	O	
dans O	O	O	
la B-TIME	O	O	
