Rosalie B-PER	O	O	
de I-PER	O	O	
Constant I-PER	O	O	
, O	O	O	
sa B-PER	B-PER	O	
famille I-PER	I-PER	O	
et O	I-PER	O	
ses B-PER	I-PER	O	
amis I-PER	I-PER	O	
Nous O	O	O	
aurions O	O	O	
pu O	O	O	
commencer O	O	O	
, O	O	O	
selon O	O	O	
l' O	O	O	
usage O	O	O	
, O	O	O	
cette O	O	O	
biographie O	O	O	
trois B-TIME	O	O	
ou I-TIME	O	O	
quatre I-TIME	O	O	
cents I-TIME	O	O	
ans I-TIME	O	O	
avant O	O	O	
la O	O	O	
naissance O	O	O	
de O	O	O	
notre B-PER	O	O	
héroïne I-PER	O	O	
, O	O	O	
parler O	O	O	
des O	B-PER	B-PER	
chevaliers O	I-PER	I-PER	
de O	I-PER	I-PER	
St-Jean B-PER	I-PER	I-PER	
de I-PER	I-PER	I-PER	
Jérusalem I-PER	I-PER	I-PER	
, O	O	I-PER	
des O	B-PER	I-PER	
chefs O	I-PER	I-PER	
d' O	I-PER	I-PER	
escadre B-ORG	I-PER	I-PER	
, O	O	I-PER	
des O	B-PER	I-PER	
compagnons O	I-PER	I-PER	
de O	I-PER	I-PER	
Charles B-PER	I-PER	I-PER	
Quint I-PER	I-PER	I-PER	
, O	O	O	
qui O	O	O	
furent O	O	O	
ses B-PER	O	O	
ancêtres I-PER	O	O	
paternels I-PER	O	O	
. O	O	O	

Rosalie B-PER	O	O	
elle-même O	O	O	
, O	O	O	
dans O	O	O	
son O	O	O	
journal O	O	O	
, O	O	O	
nous O	O	O	
défile O	O	O	
avec O	O	O	
un O	O	O	
certain O	O	O	
orgueil O	O	O	
une O	O	O	
longue O	O	O	
lignée O	O	O	
d' O	O	O	
aïeux B-PER	O	O	
, O	O	O	
tous O	O	O	
valeureux O	O	O	
, O	O	O	
preux O	O	O	
et O	O	O	
héroïques O	O	O	
; O	O	O	
mais O	O	O	
, O	O	O	
si O	O	O	
vous O	O	O	
le O	O	O	
voulez O	O	O	
bien O	O	O	
, O	O	O	
nous O	O	O	
ne O	O	O	
remonterons O	O	O	
pas O	O	O	
si O	O	O	
haut O	O	O	
. O	O	O	

La O	B-PER	O	
mère O	I-PER	O	
de O	I-PER	O	
Rosalie B-PER	I-PER	O	
était O	O	O	
cette B-PER	O	O	
Charlotte I-PER	O	O	
Pictet I-PER	O	O	
à O	O	O	
laquelle O	O	O	
M B-PER	O	O	
. I-PER	O	O	

Lucien I-PER	O	O	
Perey I-PER	O	O	
a O	O	O	
emprunté O	O	O	
bien O	O	O	
des O	O	O	
lettres O	O	O	
dans O	O	O	
sa O	O	O	
Vie O	O	O	
intime O	O	O	
de O	O	O	
Voltaire B-PER	O	O	
. O	O	O	

