SARRASINE O	O	O	
. O	O	O	

À O	O	O	
MONSIEUR O	O	O	
CHARLES O	O	O	
DE O	O	O	
BERNARD O	O	O	
DU O	O	O	
GRAIL O	O	O	
. O	O	O	

J’ O	O	O	
étais O	O	O	
plongé O	O	O	
dans O	O	O	
une O	O	O	
de O	O	O	
ces O	O	O	
rêveries O	O	O	
profondes O	O	O	
qui O	O	O	
saisissent O	O	O	
tout B-PER	O	O	
le I-PER	O	O	
monde I-PER	O	O	
, O	O	O	
même O	O	O	
un B-PER	O	O	
homme I-PER	O	O	
frivole I-PER	O	O	
, O	O	O	
au O	O	O	
sein O	O	O	
des O	O	O	
fêtes O	O	O	
les O	O	O	
plus O	O	O	
tumultueuses O	O	O	
. O	O	O	

Minuit O	O	O	
venait O	O	O	
de O	O	O	
sonner O	O	O	
à O	O	O	
l’ O	O	O	
horloge O	O	O	
de O	O	O	
l’ B-FAC	O	O	
Elysée-Bourbon I-FAC	O	O	
. O	O	O	

Assis O	O	O	
dans O	O	O	
l’ O	O	O	
embrasure O	O	O	
d’ O	O	O	
une O	O	O	
fenêtre O	O	O	
, O	O	O	
et O	O	O	
caché O	O	O	
sous O	O	O	
les O	O	O	
plis O	O	O	
onduleux O	O	O	
d’ O	O	O	
un O	O	O	
rideau O	O	O	
de O	O	O	
moire O	O	O	
, O	O	O	
je O	O	O	
pouvais O	O	O	
contempler O	O	O	
à O	O	O	
mon O	O	O	
aise O	O	O	
le O	B-FAC	O	
jardin O	I-FAC	O	
de O	I-FAC	O	
l’ B-FAC	I-FAC	O	
hôtel I-FAC	I-FAC	O	
où O	O	O	
je O	O	O	
passais O	O	O	
la B-TIME	O	O	
soirée I-TIME	O	O	
. O	O	O	

Les O	O	O	
arbres O	O	O	
, O	O	O	
imparfaitement O	O	O	
couverts O	O	O	
de O	O	O	
neige O	O	O	
, O	O	O	
se O	O	O	
détachaient O	O	O	
faiblement O	O	O	
du O	O	O	
fond O	O	O	
grisâtre O	O	O	
que O	O	O	
formait O	O	O	
un B-LOC	O	O	
ciel I-LOC	O	O	
nuageux I-LOC	O	O	
, O	O	O	
à O	O	O	
peine O	O	O	
blanchi O	O	O	
par O	O	O	
la B-LOC	O	O	
lune I-LOC	O	O	
. O	O	O	

Vus O	O	O	
au O	O	O	
sein O	O	O	
de O	O	O	
cette O	O	O	
atmosphère O	O	O	
fantastique O	O	O	
, O	O	O	
ils O	O	O	
ressemblaient O	O	O	
vaguement O	O	O	
à O	O	O	
des O	O	O	
spectres O	O	O	
