Élisabeth O	O	O	O	
Seton O	O	O	O	
Il O	O	O	O	
y O	O	O	O	
a O	O	O	O	
déjà O	O	O	O	
quatre-vingts B-TIME	O	O	O	
ans I-TIME	O	O	O	
que O	O	O	O	
Madame O	O	O	O	
Seton O	O	O	O	
s' O	O	O	O	
est O	O	O	O	
éteinte O	O	O	O	
à O	O	O	O	
Emmetsburg B-GPE	O	O	O	
, O	O	O	O	
mais O	O	O	O	
, O	O	O	O	
loin O	O	O	O	
de O	O	O	O	
plonger O	O	O	O	
dans O	O	O	O	
l' O	O	O	O	
ombre O	O	O	O	
, O	O	O	O	
sa O	O	O	O	
mémoire O	O	O	O	
grandit O	O	O	O	
. O	O	O	O	

D' O	O	O	O	
après O	O	O	O	
quelques O	O	O	O	
journaux O	O	O	O	
, O	O	O	O	
les O	B-PER	O	O	
évêques O	I-PER	O	O	
des B-GPE	I-PER	O	O	
États-Unis I-GPE	I-PER	O	O	
songeraient O	O	O	O	
à O	O	O	O	
demander O	O	O	O	
la O	O	O	O	
canonisation O	O	O	O	
de O	O	O	O	
cette O	O	O	O	
illustre O	O	O	O	
convertie O	O	O	O	
. O	O	O	O	

On O	O	O	O	
a O	O	O	O	
même O	O	O	O	
annoncé O	O	O	O	
que O	O	O	O	
le O	O	B-PER	O	
président O	O	I-PER	O	
de O	O	I-PER	O	
l' O	B-ORG	I-PER	O	
Université O	I-ORG	I-PER	O	
de O	I-ORG	I-PER	O	
Niagara B-GPE	I-ORG	I-PER	O	
était O	O	O	O	
chargé O	O	O	O	
de O	O	O	O	
recueillir O	O	O	O	
les O	O	O	O	
preuves O	O	O	O	
de O	O	O	O	
l' O	O	O	O	
héroïcité O	O	O	O	
de O	O	O	O	
ses O	O	O	O	
vertus O	O	O	O	
. O	O	O	O	

Quoi O	O	O	O	
qu' O	O	O	O	
il O	O	O	O	
en O	O	O	O	
soit O	O	O	O	
, O	O	O	O	
Élisabeth O	O	O	O	
Seton O	O	O	O	
est O	O	O	O	
l' O	O	O	O	
une O	O	O	O	
des O	B-PER	O	O	
gloires O	I-PER	O	O	
de O	I-PER	O	O	
l' B-GPE	I-PER	O	O	
Amérique I-GPE	I-PER	O	O	
et O	O	O	O	
son O	O	O	O	
histoire O	O	O	O	
offre O	O	O	O	
un O	O	O	O	
grand O	O	O	O	
intérêt O	O	O	O	
. O	O	O	O	

Cette O	O	O	O	
femme O	O	O	O	
comblée O	O	O	O	
de O	O	O	O	
tous O	O	O	O	
les O	O	O	O	
dons O	O	O	O	
a O	O	O	O	
éprouvé O	O	O	O	
toutes O	O	O	O	
les O	O	O	O	
vicissitudes O	O	O	O	
humaines O	O	O	O	
; O	O	O	O	
elle O	O	O	O	
a O	O	O	O	
connu O	O	O	O	
les O	O	O	O	
ardentes O	O	O	O	
tendresses O	O	O	O	
, O	O	O	O	
les O	O	O	O	
joies O	O	O	O	
qui O	O	O	O	
transportent O	O	O	O	
et O	O	O	O	
aussi O	O	O	O	
toutes O	O	O	O	
les O	O	O	O	
angoisses O	O	O	O	
, O	O	O	O	
tous O	O	O	O	
les O	O	O	O	
déchirements O	O	O	O	
de O	O	O	O	
la O	O	O	O	
douleur O	O	O	O	
. O	O	O	O	

Encore O	O	O	O	
protestante O	O	O	O	
, O	O	O	O	
elle O	O	O	O	
s' O	O	O	O	
est O	O	O	O	
élevée O	O	O	O	
à O	O	O	O	
une O	O	O	O	
admirable O	O	O	O	
vertu O	O	O	O	
: O	O	O	O	
« O	O	O	O	
Je O	O	O	O	
ne O	O	O	O	
regarde O	O	O	O	
ni O	O	O	O	
en O	O	O	O	
arrière O	O	O	O	
, O	O	O	O	
ni O	O	O	O	
en O	O	O	O	
avant O	O	O	O	
, O	O	O	O	
je O	O	O	O	
regarde O	O	O	O	
en O	O	O	O	
haut O	O	O	O	
, O	O	O	O	
» O	O	O	O	
disait-elle O	O	O	O	
dans O	O	O	O	
l' O	O	O	O	
écroulement O	O	O	O	
de O	O	O	O	
son O	O	O	O	
bonheur O	O	O	O	
, O	O	O	O	
l' O	O	O	O	
un O	O	O	O	
des O	O	O	O	
plus O	O	O	O	
complets O	O	O	O	
qu' O	O	O	O	
une B-PER	O	O	O	
créature I-PER	O	O	O	
mortelle I-PER	O	O	O	
ait O	O	O	O	
jamais O	O	O	O	
possédés O	O	O	O	
. O	O	O	O	

Et O	O	O	O	
ces O	O	O	O	
mots O	O	O	O	
la O	O	O	O	
révèlent O	O	O	O	
et O	O	O	O	
la O	O	O	O	
peignent O	O	O	O	
. O	O	O	O	

Attirée O	O	O	O	
vers O	O	O	O	
le O	O	O	O	
catholicisme O	O	O	O	
, O	O	O	O	
avant O	O	O	O	
d' O	O	O	O	
arriver O	O	O	O	
à O	O	O	O	
la O	O	O	O	
conviction O	O	O	O	
qui O	O	O	O	
oblige O	O	O	O	
, O	O	O	O	
elle O	O	O	O	
passa O	O	O	O	
à O	O	O	O	
travers O	O	O	O	
les O	O	O	O	
ténèbres O	O	O	O	
et O	O	O	O	
les O	O	O	O	
agonies O	O	O	O	
du O	O	O	O	
doute O	O	O	O	
. O	O	O	O	

Tous O	O	O	O	
les O	O	O	O	
liens O	O	O	O	
du O	O	O	O	
sang O	O	O	O	
, O	O	O	O	
de O	O	O	O	
l' O	O	O	O	
intérêt O	O	O	O	
, O	O	O	O	
de O	O	O	O	
l' O	O	O	O	
affection O	O	O	O	
, O	O	O	O	
du O	O	O	O	
souvenir O	O	O	O	
l' O	O	O	O	
attachaient O	O	O	O	
à O	O	O	O	
la O	O	O	O	
religion O	O	O	O	
où O	O	O	O	
elle O	O	O	O	
était O	O	O	O	
née O	O	O	O	
. O	O	O	O	

C' O	O	O	O	
est O	O	O	O	
par O	O	O	O	
de O	O	O	O	
sanglants O	O	O	O	
sacrifices O	O	O	O	
qu' O	O	O	O	
elle O	O	O	O	
parvint O	O	O	O	
à O	O	O	O	
l' O	O	O	O	
entière O	O	O	O	
vérité O	O	O	O	
, O	O	O	O	
à O	O	O	O	
l' O	O	O	O	
éclatante O	O	O	O	
lumière O	O	O	O	
. O	O	O	O	

Ruinée O	O	O	O	
entièrement O	O	O	O	
, O	O	O	O	
veuve O	O	O	O	
désolée O	O	O	O	
, O	O	O	O	
abandonnée O	O	O	O	
des O	O	O	O	
siens O	O	O	O	
, O	O	O	O	
elle O	O	O	O	
fut O	O	O	O	
l' O	O	O	O	
ouvrière O	O	O	O	
de O	O	O	O	
Dieu O	O	O	O	
dans O	O	O	O	
la O	O	O	O	
grande O	O	O	O	
République O	O	O	O	
. O	O	O	O	

Le O	O	O	O	
catholicisme O	O	O	O	
y O	O	O	O	
était O	O	O	O	
alors O	O	O	O	
en O	O	O	O	
exécration O	O	O	O	
. O	O	O	O	

Mais O	O	O	O	
la O	O	O	O	
Révolution O	O	O	O	
française O	O	O	O	
avait O	O	O	O	
envoyé O	O	O	O	
aux B-GPE	O	O	O	
États-Unis I-GPE	O	O	O	
des B-PER	O	O	O	
prêtres I-PER	O	O	O	
admirables I-PER	O	O	O	
. O	O	O	O	

Les B-PER	B-PER	O	O	
Cheverus I-PER	I-PER	O	O	
, O	I-PER	O	O	
les B-PER	I-PER	O	O	
Matignon I-PER	I-PER	O	O	
, O	I-PER	O	O	
les B-PER	I-PER	O	O	
Du I-PER	I-PER	O	O	
Bourg I-PER	I-PER	O	O	
, O	I-PER	O	O	
les B-PER	I-PER	O	O	
Bruté I-PER	I-PER	O	O	
de I-PER	I-PER	O	O	
Rémur I-PER	I-PER	O	O	
, O	O	O	O	
etc O	O	O	O	
. O	O	O	O	

, O	O	O	O	
firent O	O	O	O	
un O	O	O	O	
immense O	O	O	O	
bien O	O	O	O	
, O	O	O	O	
et O	O	O	O	
Madame O	O	O	O	
Seton O	O	O	O	
a O	O	O	O	
la O	O	O	O	
gloire O	O	O	O	
d' O	O	O	O	
avoir O	O	O	O	
aidé O	O	O	O	
ces B-PER	O	O	O	
proscrits I-PER	O	O	O	
apôtres I-PER	O	O	O	
de O	O	O	O	
sa O	O	O	O	
patrie O	O	O	O	
. O	O	O	O	

Plusieurs O	O	O	O	
ont O	O	O	O	
écrit O	O	O	O	
sa O	O	O	O	
vie O	O	O	O	
. O	O	O	O	

Il O	O	O	O	
me O	O	O	O	
semble O	O	O	O	
qu' O	O	O	O	
on O	O	O	O	
peut O	O	O	O	
difficilement O	O	O	O	
la O	O	O	O	
lire O	O	O	O	
sans O	O	O	O	
attendrissement O	O	O	O	
, O	O	O	O	
sans O	O	O	O	
profit O	O	O	O	
, O	O	O	O	
sans O	O	O	O	
ressentir O	O	O	O	
, O	O	O	O	
au O	O	O	O	
moins O	O	O	O	
en O	O	O	O	
passant O	O	O	O	
, O	O	O	O	
ce O	O	O	O	
qu' O	O	O	O	
un O	O	O	O	
ancien O	O	O	O	
appelait O	O	O	O	
le O	O	O	O	
mouvement O	O	O	O	
des O	O	O	O	
ailes O	O	O	O	
de O	O	O	O	
l' O	O	O	O	
âme O	O	O	O	
. O	O	O	O	

Mme O	O	O	O	
Seton O	O	O	O	
est-elle O	O	O	O	
aussi O	O	O	O	
connue O	O	O	O	
chez O	O	O	O	
nous O	O	O	O	
qu' O	O	O	O	
elle O	O	O	O	
le O	O	O	O	
devrait O	O	O	O	
être O	O	O	O	
? O	O	O	O	
Je O	O	O	O	
ne O	O	O	O	
le O	O	O	O	
crois O	O	O	O	
pas O	O	O	O	
: O	O	O	O	
et O	O	O	O	
, O	O	O	O	
m' O	O	O	O	
