II	O	O	-
.	O	O	-
L'	O	O	-
alba	O	O	-
vinceva	O	O	-
l'	O	O	-
ora	O	O	-
mattutina	O	O	-
Che	O	O	-
fuggia	O	O	-
innanzi	O	O	-
,	O	O	-
si	O	O	-
che	O	O	-
di	O	O	-
lontano	O	O	-
Conobbi	O	O	-
il	O	O	-
tremolar	O	O	-
della	O	O	-
marina	O	O	-
…	O	O	-
PURG	O	O	-
.	O	O	-
I	O	O	-
.	O	O	-
Les	O	O	-
Krafft	O	O	-
étaient	O	O	-
originaires	O	O	-
d'	O	O	-
Anvers	O	O	-

Conobbi	O	O	-
il	O	O	-
tremolar	O	O	-
della	O	O	-
marina	O	O	-
…	O	O	-
PURG	O	O	-
.	O	O	-
I	O	O	-
.	O	O	-
Les	O	O	-
Krafft	O	O	-
étaient	O	O	-
originaires	O	O	-
d'	O	O	-
Anvers	O	O	-
.	O	O	-
Le	O	O	-
vieux	O	O	-
Jean	O	O	-
-	O	O	-
Michel	O	O	-
avait	B-EVENT	O	23
quitté	I-EVENT	O	-
le	O	O	-
pays	O	O	-
,	O	O	-
à	O	O	-
la	O	O	-
suite	O	O	-
de	O	O	-
frasques	B-EVENT	O	23

.	O	O	-
Le	O	O	-
vieux	O	O	-
Jean	O	O	-
-	O	O	-
Michel	O	O	-
avait	B-EVENT	O	7
quitté	I-EVENT	O	-
le	O	O	-
pays	O	O	-
,	O	O	-
à	O	O	-
la	O	O	-
suite	O	O	-
de	O	O	-
frasques	B-EVENT	O	7
de	O	O	-
jeunesse	O	O	-
,	O	O	-
d'	O	O	-
une	O	O	-
rixe	B-EVENT	O	7
violente	O	O	-
,	O	O	-
comme	O	O	-
il	O	O	-
en	O	O	-
avait	O	O	-
souvent	O	O	-
,	O	O	-
–	O	O	-
car	O	O	-

de	O	O	-
jeunesse	O	O	-
,	O	O	-
d'	O	O	-
une	O	O	-
rixe	B-EVENT	O	6
violente	O	O	-
,	O	O	-
comme	O	O	-
il	O	O	-
en	O	O	-
avait	O	O	-
souvent	O	O	-
,	O	O	-
–	O	O	-
car	O	O	-
il	O	O	-
était	O	O	-
diablement	O	O	-
batailleur	O	O	-
,	O	O	-
–	O	O	-
et	O	O	-
qui	O	O	-
avait	B-EVENT	O	6
eu	I-EVENT	O	-
cette	O	O	-
fois	O	O	-
un	O	O	-
fâcheux	B-EVENT	O	6
dénouement	B-EVENT	O	6
.	O	O	-

il	O	O	-
était	O	O	-
diablement	O	O	-
batailleur	O	O	-
,	O	O	-
–	O	O	-
et	O	O	-
qui	O	O	-
avait	B-EVENT	O	9
eu	I-EVENT	O	-
cette	O	O	-
fois	O	O	-
un	O	O	-
fâcheux	B-EVENT	O	9
dénouement	B-EVENT	O	9
.	O	O	-
Il	O	O	-
était	B-EVENT	O	9
venu	I-EVENT	O	-
s'	I-EVENT	O	-
établir	I-EVENT	O	-
,	O	O	-
presque	O	O	-
un	O	O	-
demi	O	O	-
-	O	O	-
siècle	O	O	-
avant	O	O	-
,	O	O	-
dans	O	O	-
la	O	O	-
petite	O	O	-

Il	O	O	-
était	B-EVENT	O	2
venu	I-EVENT	O	-
s'	I-EVENT	O	-
établir	I-EVENT	O	-
,	O	O	-
presque	O	O	-
un	O	O	-
demi	O	O	-
-	O	O	-
siècle	O	O	-
avant	O	O	-
,	O	O	-
dans	O	O	-
la	O	O	-
petite	O	O	-
ville	O	O	-
princière	O	O	-
,	O	O	-
dont	O	O	-
les	O	O	-
toits	O	O	-
rouges	O	O	-
aux	O	O	-
faites	O	O	-
pointus	O	O	-
et	O	O	-
les	O	O	-
jardins	O	O	-
ombreux	O	O	-
,	O	O	-
étagés	O	O	-

ville	O	O	-
princière	O	O	-
,	O	O	-
dont	O	O	-
les	O	O	-
toits	O	O	-
rouges	O	O	-
aux	O	O	-
faites	O	O	-
pointus	O	O	-
et	O	O	-
les	O	O	-
jardins	O	O	-
ombreux	O	O	-
,	O	O	-
