SARRASINE	O	O	-
.	O	O	-
À	O	O	-
MONSIEUR	O	O	-
CHARLES	O	O	-
DE	O	O	-
BERNARD	O	O	-
DU	O	O	-
GRAIL	O	O	-
.	O	O	-
J'	O	O	-
étais	O	O	-
plongé	O	O	-
dans	O	O	-
une	O	O	-
de	O	O	-
ces	O	O	-
rêveries	B-EVENT	B-EVENT	18
profondes	O	O	-
qui	O	O	-
saisissent	O	O	-
tout	O	O	-
le	O	O	-
monde	O	O	-
,	O	O	-
même	O	O	-
un	O	O	-
homme	O	O	-
frivole	O	O	-
,	O	O	-
au	O	O	-
sein	O	O	-

ces	O	O	-
rêveries	B-EVENT	B-EVENT	2
profondes	O	O	-
qui	O	O	-
saisissent	O	O	-
tout	O	O	-
le	O	O	-
monde	O	O	-
,	O	O	-
même	O	O	-
un	O	O	-
homme	O	O	-
frivole	O	O	-
,	O	O	-
au	O	O	-
sein	O	O	-
des	O	O	-
fêtes	O	O	-
les	O	O	-
plus	O	O	-
tumultueuses	O	O	-
.	O	O	-
Minuit	O	O	-
venait	O	O	-
de	O	O	-
sonner	B-EVENT	B-EVENT	2
à	O	O	-
l'	O	O	-
horloge	O	O	-
de	O	O	-
l'	O	O	-
Elysée	O	O	-

des	O	O	-
fêtes	O	O	-
les	O	O	-
plus	O	O	-
tumultueuses	O	O	-
.	O	O	-
Minuit	O	O	-
venait	O	O	-
de	O	O	-
sonner	B-EVENT	B-EVENT	10
à	O	O	-
l'	O	O	-
horloge	O	O	-
de	O	O	-
l'	O	O	-
Elysée	O	O	-
-	O	O	-
Bourbon	O	O	-
.	O	O	-
Assis	O	O	-
dans	O	O	-
l'	O	O	-
embrasure	O	O	-
d'	O	O	-
une	O	O	-
fenêtre	O	O	-
,	O	O	-
et	O	O	-
caché	O	O	-
sous	O	O	-
les	O	O	-
plis	O	O	-

-	O	O	-
Bourbon	O	O	-
.	O	O	-
Assis	O	O	-
dans	O	O	-
l'	O	O	-
embrasure	O	O	-
d'	O	O	-
une	O	O	-
fenêtre	O	O	-
,	O	O	-
et	O	O	-
caché	O	O	-
sous	O	O	-
les	O	O	-
plis	O	O	-
onduleux	O	O	-
d'	O	O	-
un	O	O	-
rideau	O	O	-
de	O	O	-
moire	O	O	-
,	O	O	-
je	O	O	-
pouvais	O	O	-
contempler	B-EVENT	B-EVENT	26
à	O	O	-
mon	O	O	-
aise	O	O	-
le	O	O	-
jardin	O	O	-
de	O	O	-

onduleux	O	O	-
d'	O	O	-
un	O	O	-
rideau	O	O	-
de	O	O	-
moire	O	O	-
,	O	O	-
je	O	O	-
pouvais	O	O	-
contempler	B-EVENT	B-EVENT	10
à	O	O	-
mon	O	O	-
aise	O	O	-
le	O	O	-
jardin	O	O	-
de	O	O	-
l'	O	O	-
hôtel	O	O	-
où	O	O	-
je	O	O	-
passais	B-EVENT	B-EVENT	10
la	O	O	-
soirée	O	O	-
.	O	O	-
Les	O	O	-
arbres	O	O	-
,	O	O	-
imparfaitement	O	O	-
couverts	O	O	-
de	O	O	-
neige	B-EVENT	B-EVENT	10
,	O	O	-

l'	O	O	-
hôtel	O	O	-
où	O	O	-
je	O	O	-
passais	B-EVENT	B-EVENT	5
la	O	O	-
soirée	O	O	-
.	O	O	-
Les	O	O	-
arbres	O	O	-
,	O	O	-
imparfaitement	O	O	-
couverts	O	O	-
de	O	O	-
neige	B-EVENT	B-EVENT	5
,	O	O	-
se	O	O	-
détachaient	O	O	-
faiblement	O	O	-
du	O	O	-
fond	O	O	-
grisâtre	O	O	-
que	O	O	-
formait	O	O	-
un	O	O	-
ciel	O	O	-
nuageux	B-EVENT	B-EVENT	5
,	O	O	-
à	O	O	-
peine	O	O	-
blanchi	O	O	-
par	O	O	-

se	O	O	-
détachaient	O	O	-
faiblement	O	O	-
du	O	O	-
fond	O	O	-
grisâtre	O	O	-
que	O	O	-
formait	O	O	-
un	O	O	-
ciel	O	O	-
nuageux	B-EVENT	B-EVENT	11
,	O	O	-
à	O	O	-
peine	O	O	-
blanchi	O	O	-
par	O	O	-
la	O	O	-
lune	O	O	-
.	O	O	-
Vus	O	O	-
au	O	O	-
sein	O	O	-
de	O	O	-
cette	O	O	-
atmosphère	O	O	-
fantastique	O	O	-
,	O	O	-
ils	O	O	-
ressemblaient	O	O	-
vaguement	O	O	-
à	O	O	-
des	O	O	-

la	O	O	-
lune	O	O	-
.	O	O	-
Vus	O	O	-
au	O	O	-
sein	O	O	-
de	O	O	-
cette	O	O	-
atmosphère	O	O	-
fantastique	O	O	-
,	O	O	-
ils	O	O	-
ressemblaient	O	O	-
vaguement	O	O	-
à	O	O	-
des	O	O	-
spectres	O	O	-
mal	O	O	-
enveloppés	O	O	-
de	O	O	-
leurs	O	O	-
linceuls	O	O	-
,	O	O	-
image	O	O	-
gigantesque	O	O	-
de	O	O	-
la	O	O	-
fameuse	O	O	-
Danse	O	O	-
des	O	O	-
morts	O	O	-
.	O	O	-

spectres	O	O	-
mal	O	O	-
enveloppés	O	O	-
de	O	O	-
leurs	O	O	-
linceuls	O	O	-
,	O	O	-
image	O	O	-
gigantesque	O	O	-
de	O	O	-
la	O	O	-
fameuse	O	O	-
Danse	O	O	-
des	O	O	-
morts	O	O	-
.	O	O	-
Puis	O	O	-
,	O	O	-
en	O	O	-
me	O	O	-
retournant	B-EVENT	B-EVENT	21
de	O	O	-
l'	O	O	-
autre	O	O	-
côté	O	O	-
,	O	O	-
je	O	O	-
pouvais	O	O	-
admirer	B-EVENT	B-EVENT	21
la	O	O	-
danse	B-EVENT	B-EVENT	21
des	O	O	-

Puis	O	O	-
,	O	O	-
en	O	O	-
me	O	O	-
retournant	B-EVENT	B-EVENT	5
de	O	O	-
l'	O	O	-
autre	O	O	-
côté	O	O	-
,	O	O	-
je	O	O	-
pouvais	O	O	-
admirer	B-EVENT	B-EVENT	5
la	O	O	-
danse	B-EVENT	B-EVENT	5
des	O	O	-
vivants	O	O	-
!	O	O	-
un	O	O	-
salon	O	O	-
splendide	O	O	-
,	O	O	-
aux	O	O	-
parois	O	O	-
d'	O	O	-
argent	O	O	-
et	O	O	-
d'	O	O	-
or	O	O	-
,	O	O	-
aux	O	O	-
lustres	O	O	-

vivants	O	O	-
!	O	O	-
un	O	O	-
salon	O	O	-
splendide	O	O	-
,	O	O	-
aux	O	O	-
parois	O	O	-
d'	O	O	-
argent	O	O	-
et	O	O	-
d'	O	O	-
or	O	O	-
,	O	O	-
aux	O	O	-
lustres	O	O	-
étincelants	O	O	-
,	O	O	-
brillant	O	O	-
de	O	O	-
bougies	O	O	-
.	O	O	-
Là	O	O	-
,	O	O	-
fourmillaient	B-EVENT	B-EVENT	25
,	O	O	-
s'	B-EVENT	B-EVENT	25
agitaient	I-EVENT	I-EVENT	-
et	O	O	-
papillonnaient	B-EVENT	B-EVENT	25
les	O	O	-
plus	O	O	-

étincelants	O	O	-
,	O	O	-
brillant	O	O	-
de	O	O	-
bougies	O	O	-
.	O	O	-
Là	O	O	-
,	O	O	-
fourmillaient	B-EVENT	B-EVENT	9
,	O	O	-
s'	B-EVENT	B-EVENT	9
agitaient	I-EVENT	I-EVENT	-
et	O	O	-
papillonnaient	B-EVENT	B-EVENT	9
les	O	O	-
plus	O	O	-
jolies	O	O	-
femmes	O	O	-
de	O	O	-
Paris	O	O	-
,	O	O	-
les	O	O	-
plus	O	O	-
riches	O	O	-
,	O	O	-
les	O	O	-
mieux	O	O	-
titrées	O	O	-
,	O	O	-
éclatantes	O	O	-
,	O	O	-
pompeuses	O	O	-

jolies	O	O	-
femmes	O	O	-
de	O	O	-
Paris	O	O	-
,	O	O	-
les	O	O	-
plus	O	O	-
riches	O	O	-
,	O	O	-
les	O	O	-
mieux	O	O	-
titrées	O	O	-
,	O	O	-
éclatantes	O	O	-
,	O	O	-
pompeuses	O	O	-
,	O	O	-
éblouissantes	O	O	-
de	O	O	-
diamants	O	O	-
!	O	O	-
des	O	O	-
fleurs	O	O	-
sur	O	O	-
la	O	O	-
tête	O	O	-
,	O	O	-
sur	O	O	-
le	O	O	-
sein	O	O	-
,	O	O	-
dans	O	O	-

,	O	O	-
éblouissantes	O	O	-
de	O	O	-
diamants	O	O	-
!	O	O	-
des	O	O	-
fleurs	O	O	-
sur	O	O	-
la	O	O	-
tête	O	O	-
,	O	O	-
sur	O	O	-
le	O	O	-
sein	O	O	-
,	O	O	-
dans	O	O	-
les	O	O	-
cheveux	O	O	-
,	O	O	-
semées	O	O	-
sur	O	O	-
les	O	O	-
robes	O	O	-
,	O	O	-
ou	O	O	-
en	O	O	-
guirlandes	O	O	-
à	O	O	-
leurs	O	O	-
pieds	O	O	-
.	O	O	-
C'	O	O	-

les	O	O	-
cheveux	O	O	-
,	O	O	-
semées	O	O	-
sur	O	O	-
les	O	O	-
robes	O	O	-
,	O	O	-
ou	O	O	-
en	O	O	-
guirlandes	O	O	-
à	O	O	-
leurs	O	O	-
pieds	O	O	-
.	O	O	-
C'	O	O	-
était	O	O	-
de	O	O	-
légers	O	O	-
frémissements	B-EVENT	B-EVENT	20
de	I-EVENT	I-EVENT	-
joie	I-EVENT	I-EVENT	-
,	O	O	-
des	O	O	-
pas	O	O	-
voluptueux	O	O	-
qui	O	O	-
faisaient	O	O	-
rouler	O	O	-
les	O	O	-
dentelles	O	O	-
,	O	O	-

était	O	O	-
de	O	O	-
légers	O	O	-
frémissements	B-EVENT	B-EVENT	4
de	I-EVENT	I-EVENT	-
joie	I-EVENT	I-EVENT	-
,	O	O	-
des	O	O	-
pas	O	O	-
voluptueux	O	O	-
qui	O	O	-
faisaient	O	O	-
rouler	O	O	-
les	O	O	-
dentelles	O	O	-
,	O	O	-
les	O	O	-
blondes	O	O	-
,	O	O	-
la	O	O	-
mousseline	O	O	-
autour	O	O	-
de	O	O	-
leurs	O	O	-
flancs	O	O	-
délicats	O	O	-
.	O	O	-
Quelques	O	O	-
