Madame	B-PER	O	O
de	I-PER	O	O
Hautefort	E-PER	O	O
Voici	O	O	O
maintenant	O	O	O
une	B-PER	O	O
toute	I-PER	O	O
autre	I-PER	O	O
personne	E-PER	O	O
,	O	O	O
qui	O	O	O
va	O	O	O
nous	O	O	O
ramener	O	O	O
parmi	O	O	O
les	O	O	O
mêmes	O	O	O
événemens	O	O	O
,	O	O	O
mais	O	O	O
qui	O	O	O
y	O	O	O
portera	O	O	O
un	O	O	O
bien	O	O	O
différent	O	O	O
caractère	O	O	O
.	O	O	O

C'	O	O	O
est	O	O	O
encore	O	O	O
une	B-PER	O	O
ennemie	E-PER	O	O
,	O	O	O
ce	O	O	O
n'	O	O	O
est	O	O	O
plus	O	O	O
une	O	O	O
rivale	O	O	O
de	O	O	O
Richelieu	S-PER	O	O
et	O	O	O
de	O	O	O
Mazarin	S-PER	O	O
.	O	O	O

La	B-PER	O	O
noble	I-PER	O	O
femme	E-PER	O	O
dont	O	O	O
nous	O	O	O
allons	O	O	O
retracer	O	O	O
la	O	O	O
vie	O	O	O
n'	O	O	O
appartient	O	O	O
point	O	O	O
à	O	O	O
l'	O	O	O
histoire	O	O	O
politique	O	O	O
;	O	O	O
elle	O	O	O
n'	O	O	O
est	O	O	O
point	O	O	O
de	O	O	O
la	O	O	B-PER
famille	O	O	I-PER
des	O	B-PER	I-PER
hommes	O	I-PER	I-PER
d'	O	I-PER	I-PER
état	S-GPE	E-PER	E-PER
;	O	O	O
elle	O	O	O
n'	O	O	O
a	O	O	O
point	O	O	O
disputé	O	O	O
aux	B-PER	O	O
deux	I-PER	O	O
grands	I-PER	O	O
cardinaux	E-PER	O	O
leur	O	O	O
pouvoir	O	O	O
et	O	O	O
le	O	B-ORG	O
gouvernement	O	I-ORG	O
de	O	I-ORG	O
la	B-GPE	I-ORG	O
France	E-GPE	E-ORG	O
;	O	O	O
elle	O	O	O
a	O	O	O
refusé	O	O	O
seulement	O	O	O
de	O	O	O
leur	O	O	O
livrer	O	O	O
son	O	O	O
âme	O	O	O
,	O	O	O
de	O	O	O
trahir	O	O	O
pour	O	O	O
eux	O	O	O
ses	B-PER	O	O
amis	E-PER	O	O
et	O	O	O
sa	O	O	O
cause	O	O	O
,	O	O	O
cette	O	O	O
cause	O	O	O
qui	O	O	O
lui	O	O	O
semblait	O	O	O
celle	O	O	O
de	O	O	O
la	O	O	O
religion	O	O	O
et	O	O	O
de	O	O	O
la	O	O	O
vertu	O	O	O
.	O	O	O

Son	O	O	O
grand	O	O	O
cœur	O	O	O
,	O	O	O
qu'	O	O	O
animait	O	O	O
une	O	O	O
flamme	O	O	O
héroïque	O	O	O
et	O	O	O
que	O	O	O
servaient	O	O	O
une	O	O	O
merveilleuse	O	O	O
beauté	O	O	O
et	O	O	O
un	O	O	O
esprit	O	O	O
adorable	O	O	O
,	O	O	O
toujours	O	O	O
contenu	O	O	O
par	O	O	O
la	O	O	O
dignité	O	O	O
et	O	O	O
la	O	O	O
pudeur	O	O	O
,	O	O	O
a	O	O	O
paru	O	O	O
surtout	O	O	O
dans	O	O	O
ses	O	O	O
sacrifices	O	O	O
.	O	O	O

Après	O	O	O
avoir	O	O	O
été	O	O	O
la	O	B-PER	O
favorite	O	I-PER	O
d'	O	I-PER	O
un	B-PER	I-PER	O
roi	E-PER	E-PER	O
,	O	O	O
l'	O	B-PER	O
amie	O	I-PER	O
d'	O	I-PER	O
une	B-PER	I-PER	O
reine	E-PER	E-PER	O
,	O	O	O
l'	O	B-PER	O
idole	O	I-PER	O
de	O	I-PER	O
la	O	I-PER	O
cour	O	I-PER	O
la	O	I-PER	O
plus	O	I-PER	O
brillante	O	I-PER	O
de	O	I-PER	O
l'	B-LOC	I-PER	O
univers	E-LOC	E-PER	O
,	O	O	O
dès	O	O	O
que	O	O	O
le	O	O	O
devoir	O	O	O
a	O	O	O
parlé	O	O	O
,	O	O	O
elle	O	O	O
a	O	O	O
été	O	O	O
au	O	O	O
-	O	O	O
devant	O	O	O
de	O	O	O
la	O	O	O
disgrâce	O	O	O
,	O	O	O
elle	O	O	O
s'	O	O	O
est	O	O	O
retirée	O	O	O
du	O	O	O
monde	O	O	O
,	O	O	O
elle	O	O	O
a	O	O	O
caché	O	O	O
et	O	O	O
comme	O	O	O
enseveli	O	O	O
sous	O	O	O
les	O	O	O
voiles	O	O	O
et	O	O	O
dans	O	O	O
l'	O	O	O
ombre	O	O	O
de	O	O	O
la	O	O	O
vertu	O	O	O
les	O	O	O
dons	O	O	O
les	O	O	O
plus	O	O	O
rares	O	O	O
que	O	O	O
Dieu	S-PER	O	O
ait	O	O	O
jamais	O	O	O
départis	O	O	O
à	O	O	O
une	B-PER	O	O
créature	I-PER	O	O
humaine	E-PER	O	O
.	O	O	O

Elle	O	O	O
n'	O	O	O
a	O	O	O
point	O	O	O
laissé	O	O	O
de	O	O	O
nom	O	O	O
dans	O	O	O
l'	O	O	O
histoire	O	O	O
,	O	O	O
et	O	O	O
nous	O	O	O
qui	O	O	O
entreprenons	O	O	O
de	O	O	O
la	O	O	O
disputer	O	O	O
à	O	O	O
l'	O	O	O
oubli	O	O	O
,	O	O	O
si	O	O	O
nous	O	O	O
la	O	O	O
mettons	O	O	O
à	O	O	O
côté	O	O	O
de	O	O	O
Mme	B-PER	O	O
de	I-PER	O	O
Chevreuse	E-PER	O	O
,	O	O	O
ce	O	O	O
n'	O	O	O
est	O	O	O
pas	O	O	O
un	O	O	O
parallèle	O	O	O
,	O	O	O
c'	O	O	O
est	O	O	O
bien	O	O	O
plutôt	O	O	O
un	O	O	O
contraste	O	O	O
que	O	O	O
nous	O	O	O
voulons	O	O	O
établir	O	O	O
,	O	O	O
pour	O	O	O
faire	O	O	O
paraître	O	O	O
sous	O	O	O
ses	O	O	O
aspects	O	O	O
les	O	O	O
plus	O	O	O
divers	O	O	O
la	O	O	O
grandeur	O	O	O
de	O	O	O
la	O	B-PER	O
femme	O	I-PER	O
au	B-TIME	I-PER	O
XVIIe	I-TIME	I-PER	O
siècle	E-TIME	E-PER	O
,	O	O	O
comme	O	O	O
aussi	O	O	O
,	O	O	O
nous	O	O	O
l'	O	O	O
avouons	O	O	O
,	O	O	O
avec	O	O	O
le	O	O	O
désir	O	O	O
et	O	O	O
l'	O	O	O
incertaine	O	O	O
espérance	O	O	O
d'	O	O	O
intéresser	O	O	O
à	O	O	O
cette	O	O	O
fière	O	O	O
et	O	O	O
chaste	O	O	O
mémoire	O	O	O
quelques	O	O	O
âmes	O	O	O
d'	O	O	O
élite	O	O	O
çà	O	O	O
et	O	O	O
là	O	O	O
dispersées	O	O	O
.	O	O	O

