Rosalie	B-PER	O
de	I-PER	O
Constant	E-PER	O
,	O	O
sa	B-PER	O
famille	E-PER	O
et	O	O
ses	B-PER	O
amis	E-PER	O
Nous	O	O
aurions	O	O
pu	O	O
commencer	O	O
,	O	O
selon	O	O
l'	O	O
usage	O	O
,	O	O
cette	O	O
biographie	O	O
trois	B-TIME	O
ou	I-TIME	O
quatre	I-TIME	O
cents	I-TIME	O
ans	E-TIME	O
avant	O	O
la	O	O
naissance	O	O
de	O	O
notre	B-PER	O
héroïne	E-PER	O
,	O	O
parler	O	O
des	O	B-PER
chevaliers	O	I-PER
de	O	I-PER
St	B-PER	I-PER
-	I-PER	I-PER
Jean	I-PER	I-PER
de	I-PER	I-PER
Jérusalem	E-PER	E-PER
,	O	O
des	O	B-PER
chefs	O	I-PER
d'	O	I-PER
escadre	S-ORG	E-PER
,	O	O
des	O	B-PER
compagnons	O	I-PER
de	O	I-PER
Charles	B-PER	I-PER
Quint	E-PER	E-PER
,	O	O
qui	O	O
furent	O	O
ses	B-PER	O
ancêtres	I-PER	O
paternels	E-PER	O
.	O	O

Rosalie	S-PER	O
elle	O	O
-	O	O
même	O	O
,	O	O
dans	O	O
son	O	O
journal	O	O
,	O	O
nous	O	O
défile	O	O
avec	O	O
un	O	O
certain	O	O
orgueil	O	O
une	O	O
longue	O	O
lignée	O	O
d'	O	O
aïeux	S-PER	O
,	O	O
tous	O	O
valeureux	O	O
,	O	O
preux	O	O
et	O	O
héroïques	O	O
;	O	O
mais	O	O
,	O	O
si	O	O
vous	O	O
le	O	O
voulez	O	O
bien	O	O
,	O	O
nous	O	O
ne	O	O
remonterons	O	O
pas	O	O
si	O	O
haut	O	O
.	O	O

La	O	B-PER
mère	O	I-PER
de	O	I-PER
Rosalie	S-PER	E-PER
était	O	O
cette	B-PER	O
Charlotte	I-PER	O
Pictet	E-PER	O
à	O	O
laquelle	O	O
M	B-PER	O
.	I-PER	O
Lucien	I-PER	O
Perey	E-PER	O
a	O	O
emprunté	O	O
bien	O	O
des	O	O
lettres	O	O
dans	O	O
sa	O	O
Vie	O	O
intime	O	O
de	O	O
Voltaire	S-PER	O
.	O	O

Elle	O	O
habitait	O	O
avec	O	O
ses	B-PER	O
parents	E-PER	O
la	O	B-FAC
belle	O	I-FAC
propriété	O	I-FAC
de	O	I-FAC
St	B-GPE	I-FAC
-	I-GPE	I-FAC
Jean	E-GPE	E-FAC
,	O	O
qui	O	O
domine	O	O
la	O	O
jonction	O	O
de	O	O
l'	B-LOC	O
Arve	E-LOC	O
avec	O	O
le	B-LOC	O
Rhône	E-LOC	O
,	O	O
en	O	O
aval	O	O
de	O	O
Genève	S-GPE	O
.	O	O

M	B-PER	O
.	I-PER	O
L	I-PER	O
.	I-PER	O
Perey	E-PER	O
a	O	O
raconté	O	O
déjà	O	O
comment	O	O
les	O	B-PER
Pictet	O	I-PER
de	O	I-PER
St	B-GPE	I-PER
-	I-GPE	I-PER
Jean	E-GPE	E-PER
voisinaient	O	O
familièrement	O	O
avec	O	O
l'	B-PER	O
illustre	I-PER	O
philosophe	E-PER	O
,	O	O
et	O	O
les	O	O
papiers	O	O
de	O	O
Rosalie	S-PER	O
et	O	O
de	O	O
sa	B-PER	O
famille	E-PER	O
,	O	O
ont	O	O
fourni	O	O
à	O	O
l'	B-PER	O
aimable	I-PER	O
biographe	E-PER	O
beaucoup	O	O
de	O	O
détails	O	O
sur	O	O
ce	O	O
qui	O	O
se	O	O
passait	O	O
aux	B-FAC	O
Délices	E-FAC	O
,	O	O
et	O	O
à	O	O
Ferney	S-GPE	O
.	O	O

On	O	O
sait	O	O
qu'	O	O
au	O	O
début	O	O
de	O	O
son	O	O
séjour	O	O
dans	O	O
notre	B-GPE	O
pays	E-GPE	O
,	O	O
Voltaire	S-PER	O
habita	O	O
en	O	O
été	S-TIME	O
Les	B-FAC	O
Délices	E-FAC	O
près	O	O
Genève	S-GPE	O
,	O	O
en	O	O
hiver	S-TIME	O
tantôt	O	O
Monrion	S-GPE	O
,	O	O
près	O	O
Lausanne	S-GPE	O
,	O	O
tantôt	O	O
cette	B-GPE	O
ville	I-GPE	O
-	I-GPE	O
même	E-GPE	O
,	O	O
au	O	O
faubourg	O	B-GPE
du	O	I-GPE
Petit	B-GPE	I-GPE
-	I-GPE	I-GPE
Chêne	E-GPE	E-GPE
.	O	O

À	O	O
Lausanne	S-GPE	O
comme	O	O
à	O	O
Genève	S-GPE	O
,	O	O
Voltaire	S-PER	O
avait	O	O
trouvé	O	O
une	B-PER	O
société	I-PER	O
très	I-PER	O
aimable	I-PER	O
et	I-PER	O
lettrée	E-PER	O
,	O	O
toute	O	O
disposée	O	O
à	O	O
jouer	O	O
ses	O	O
tragédies	O	O
.	O	O

Ses	B-PER	O
principaux	I-PER	O
acteurs	E-PER	O
se	O	O
recrutèrent	O	O
parmi	O	O
la	B-PER	O
famille	I-PER	O
de	I-PER	O
Constant	E-PER	O
,	O	O
et	O	O
c'	O	O
est	O	O
ici	O	O
que	O	O
nous	O	O
rencontrons	O	O
Samuel	S-PER	O
,	O	O
qui	O	O
deviendra	O	O
le	O	B-PER
père	O	I-PER
de	O	I-PER
Rosalie	S-PER	E-PER
.	O	O

Samuel	S-PER	O
était	O	O
le	B-PER	B-PER
cinquième	I-PER	I-PER
fils	E-PER	I-PER
du	O	I-PER
général	O	I-PER
Constant	O	I-PER
de	O	I-PER
Rebecque	O	E-PER
qui	O	O
avait	O	O
servi	O	O
longtemps	O	O
en	O	O
Hollande	S-GPE	O
.	O	O

Lui	O	O
-	O	O
même	O	O
y	O	O
avait	O	O
acquis	O	O
le	O	O
grade	O	O
de	O	O
major	S-PER	O
,	O	O
et	O	O
c'	O	O
est	O	O
pendant	O	O
un	O	O
congé	O	O
passé	O	O
à	O	O
Lausanne	S-GPE	O
qu'	O	O
il	O	O
fit	O	O
la	O	O
connaissance	O	O
de	O	O
Charlotte	B-PER	O
Pictet	E-PER	O
;	O	O
il	O	O
l'	O	O
épousa	O	O
en	O	O
1757	O	O
.	O	O

«	O	O
Voltaire	S-PER	O
attirait	O	O
aux	B-FAC	O
Délices	E-FAC	O
les	B-PER	O
amis	E-PER	O
qu'	O	O
il	O	O
s'	O	O
était	O	O
faits	O	O
à	O	O
Lausanne	S-GPE	O
,	O	O
écrira	O	O
plus	O	O
tard	O	O
Rosalie	S-PER	O
;	O	O
il	O	O
cherchait	O	O
à	O	O
les	O	O
lier	O	O
avec	O	O
des	B-PER	O
voisins	E-PER	O
qu'	O	O
il	O	O
avait	O	O
.	O	O

C'	O	O
est	O	O
