Raymond	O	O
Radiguet	O	O
Le	O	O
Diable	O	O
au	O	O
corps	O	O
Grasset	O	O
,	O	O
1923	O	O
Je	O	O
vais	O	O
encourir	O	O
bien	O	O
des	O	O
reproches	O	O
.	O	O

Mais	O	O
qu'	O	O
y	O	O
puis	O	O
-	O	O
je	O	O
?	O	O
Est	O	O
-	O	O
ce	O	O
ma	O	O
faute	O	O
si	O	O
j'	O	O
eus	B-EVENT	O
douze	I-EVENT	O
ans	E-EVENT	O
quelques	O	O
mois	O	O
avant	O	O
la	O	O
déclaration	O	O
de	O	O
la	O	O
guerre	O	O
?	O	O
Sans	O	O
doute	O	O
,	O	O
les	O	O
troubles	S-EVENT	O
qui	O	O
me	O	O
vinrent	O	O
de	O	O
cette	O	O
période	O	O
extraordinaire	O	O
furent	O	O
d'	O	O
une	O	O
sorte	O	O
qu'	O	O
on	O	O
n'	O	O
éprouve	O	O
jamais	O	O
à	O	O
cet	O	O
âge	O	O
;	O	O
mais	O	O
comme	O	O
il	O	O
n'	O	O
existe	O	O
rien	O	O
d'	O	O
assez	O	O
fort	O	O
pour	O	O
nous	O	O
vieillir	O	O
malgré	O	O
les	O	O
apparences	O	O
,	O	O
c'	O	O
est	O	O
en	O	O
enfant	O	O
que	O	O
je	O	O
devais	O	O
me	O	O
conduire	O	O
dans	O	O
une	O	O
aventure	O	O
où	O	O
déjà	O	O
un	O	O
homme	O	O
eût	O	O
éprouvé	O	O
de	O	O
l'	O	O
embarras	O	O
.	O	O

Je	O	O
ne	O	O
suis	O	O
pas	O	O
le	O	O
seul	O	O
.	O	O

Et	O	O
mes	O	O
camarades	O	O
garderont	O	O
de	O	O
cette	O	O
époque	O	O
un	O	O
souvenir	O	O
qui	O	O
n'	O	O
est	O	O
pas	O	O
celui	O	O
de	O	O
leurs	O	O
aînés	O	O
.	O	O

Que	O	O
ceux	O	O
déjà	O	O
qui	O	O
m'	O	O
en	O	O
veulent	O	O
se	O	O
représentent	O	O
ce	O	O
que	O	O
fut	O	O
la	O	O
guerre	O	O
pour	O	O
tant	O	O
de	O	O
très	O	O
jeunes	O	O
garçons	O	O
:	O	O
quatre	O	O
ans	O	O
de	O	O
grandes	O	O
vacances	O	O
.	O	O

Nous	O	O
habitions	O	O
à	O	O
F	O	O
…	O	O
	O	O
,	O	O
au	O	O
bord	O	O
de	O	O
la	O	O
Marne	O	O
.	O	O

Mes	O	O
parents	O	O
condamnaient	O	O
plutôt	O	O
la	O	O
camaraderie	O	O
mixte	O	O
.	O	O

La	O	O
sensualité	O	O
,	O	O
qui	O	O
naît	O	O
avec	O	O
nous	O	O
et	O	O
se	O	O
manifeste	O	O
encore	O	O
aveugle	O	O
,	O	O
y	O	O
gagna	O	O
au	O	O
lieu	O	O
d'	O	O
y	O	O
perdre	O	O
.	O	O

Je	O	O
n'	O	O
ai	O	O
jamais	O	O
été	O	O
un	O	O
rêveur	O	O
.	O	O

Ce	O	O
qui	O	O
semble	O	O
rêve	O	O
aux	O	O
autres	O	O
,	O	O
plus	O	O
crédules	O	O
,	O	O
me	O	O
paraissait	O	O
à	O	O
moi	O	O
aussi	O	O
réel	O	O
que	O	O
le	O	O
fromage	O	O
au	O	O
chat	O	O
,	O	O
malgré	O	O
la	O	O
cloche	O	O
de	O	O
verre	O	O
.	O	O

Pourtant	O	O
la	O	O
cloche	O	O
existe	O	O
.	O	O

La	O	O
cloche	O	O
se	O	O
cassant	O	O
,	O	O
le	O	O
chat	O	O
en	O	O
profite	O	O
,	O	O
même	O	O
si	O	O
ce	O	O
sont	O	O
ses	O	O
maîtres	O	O
qui	O	O
la	O	O
cassent	O	O
et	O	O
s'	O	O
y	O	O
coupent	O	O
les	O	O
mains	O	O
.	O	O

Jusqu'	O	O
à	O	O
douze	O	O
ans	O	O
,	O	O
je	O	O
ne	O	O
me	O	O
vois	O	O
aucune	O	O
amourette	O	O
,	O	O
sauf	O	O
pour	O	O
une	O	O
petite	B-EVENT	O
fille	E-EVENT	O
,	O	O
nommée	O	O
Carmen	O	O
,	O	O
à	O	O
qui	O	O
je	O	O
fis	B-EVENT	O
tenir	E-EVENT	O
,	O	O
par	O	O
un	O	O
gamin	O	O
plus	O	O
jeune	O	O
que	O	O
moi	O	O
,	O	O
une	O	O
lettre	S-EVENT	O
dans	O	O
laquelle	O	O
je	O	O
lui	O	O
exprimais	O	O
mon	O	O
amour	S-EVENT	O
.	O	O

Je	O	O
m'	O	O
autorisai	S-EVENT	O
de	O	O
cet	O	O
amour	O	O
pour	O	O
solliciter	B-EVENT	O
un	I-EVENT	O
rendez	I-EVENT	O
-	I-EVENT	O
vous	E-EVENT	O
.	O	O

Ma	O	O
lettre	S-EVENT	O
lui	O	O
avait	B-EVENT	O
été	I-EVENT	O
remise	E-EVENT	O
le	O	O
matin	O	O
avant	O	O
qu'	O	O
elle	O	O
se	B-EVENT	O
rendît	I-EVENT	O
en	I-EVENT	O
classe	E-EVENT	O
.	O	O

J'	O	O
avais	O	O
distingué	O	O
la	O	O
seule	O	O
fillette	O	O
qui	O	O
me	O	O
ressemblât	O	O
,	O	O
parce	O	O
qu'	O	O
elle	O	O
était	B-EVENT	O
propre	E-EVENT	O
,	O	O
et	O	O
allait	B-EVENT	O
à	I-EVENT	O
l'	I-EVENT	O
école	E-EVENT	O
accompagnée	O	O
d'	O	O
une	O	O
petite	O	O
,	O	O
comme	O	O
moi	O	O
de	O	O
mon	O	O
petit	O	O
frère	S-EVENT	O
.	O	O

Afin	O	O
que	O	O
ces	O	O
deux	O	O
témoins	O	O
se	B-EVENT	O
tussent	E-EVENT	O
,	O	O
j'	O	O
imaginai	O	O
de	O	O
les	O	O
marier	O	O
,	O	O
en	O	O
quelque	O	O
sorte	O	O
.	O	O

À	O	O
ma	O	O
lettre	S-EVENT	O
,	O	O
j'	O	O
en	O	O
joignis	S-EVENT	O
donc	O	O
une	O	O
de	O	O
la	O	O
part	O	O
de	O	O
mon	O	O
frère	S-EVENT	O
,	O	O
qui	O	O
ne	B-EVENT	O
savait	I-EVENT	O
pas	I-EVENT	O
écrire	E-EVENT	O
,	O	O
pour	O	O
Mlle	O	O
Fauvette	O	O
.	O	O

J'	O	O
expliquai	S-EVENT	O
à	O	O
mon	O	O
frère	O	O
mon	O	O
entremise	O	O
,	O	O
et	O	O
notre	O	O
chance	O	O
de	O	O
tomber	O	O
juste	O	O
sur	O	O
deux	O	O
sœurs	O	O
de	O	O
nos	O	O
âges	O	O
et	O	O
douées	O	O
de	O	O
noms	O	O
de	O	O
baptêmes	O	O
aussi	O	O
exceptionnels	O	O
.	O	O

J'	O	O
eus	O	O
la	O	O
tristesse	O	O
de	O	O
voir	O	O
que	O	O
je	O	O
ne	O	O
m'	O	O
étais	O	O
pas	O	O
mépris	O	O
sur	O	O
le	O	O
bon	O	O
genre	O	O
de	O	O
Carmen	O	O
,	O	O
lorsque	O	O
,	O	O
après	O	O
avoir	O	O
déjeuné	O	O
avec	O	O
mes	O	O
parents	O	O
qui	O	O
me	O	O
gâtaient	O	O
et	O	O
ne	O	O
me	O	O
grondaient	O	O
jamais	O	O
,	O	O
je	O	O
rentrai	B-EVENT	O
en	I-EVENT	O
classe	E-EVENT	O
.	O	O

À	O	O
peine	O	O
mes	O	O
camarades	O	O
à	O	O
leurs	O	O
pupitres	O	O
―	O	O
moi	O	O
en	O	O
haut	O	O
de	O	O
la	O	O
classe	S-EVENT	O
,	O	O
accroupi	O	O
pour	O	O
prendre	O	O
dans	O	O
un	O	O
placard	O	O
,	O	O
en	O	O
ma	O	O
qualité	O	O
de	O	O
premier	O	O
,	O	O
les	O	O
volumes	O	O
de	O	O
la	O	O
lecture	O	O
à	O	O
haute	O	O
voix	O	O
―	O	O
,	O	O
le	O	O
directeur	O	O
entra	S-EVENT	O
.	O	O

Les	O	O
élèves	O	O
se	B-EVENT	O
levèrent	E-EVENT	O
.	O	O

Il	O	O
tenait	B-EVENT	O
une	I-EVENT	O
lettre	I-EVENT	O
à	I-EVENT	O
la	I-EVENT	O
main	E-EVENT	O
.	O	O

Mes	O	O
jambes	O	O
fléchirent	S-EVENT	O
,	O	O
les	O	O
volumes	O	O
tombèrent	S-EVENT	O
,	O	O
et	O	O
je	O	O
les	O	O
ramassai	S-EVENT	O
,	O	O
tandis	O	O
que	O	O
le	O	O
directeur	O	O
s'	B-EVENT	O
entretenait	E-EVENT	O
avec	O	O
le	O	O
maître	O	O
.	O	O

Déjà	O	O
,	O	O
les	O	O
élèves	O	O
des	O	O
premiers	O	O
bancs	O	O
se	B-EVENT	O
tournaient	I-EVENT	O
vers	I-EVENT	O
moi	E-EVENT	O
,	O	O
écarlate	O	O
,	O	O
au	O	O
fond	O	O
de	O	O
la	O	O
classe	O	O
,	O	O
car	O	O
ils	O	O
entendaient	B-EVENT	O
chuchoter	E-EVENT	O
mon	O	O
nom	O	O
.	O	O

Enfin	O	O
,	O	O
le	O	O
directeur	O	O
m'	B-EVENT	O
appela	E-EVENT	O
,	O	O
et	O	O
pour	O	O
me	B-EVENT	O
punir	E-EVENT	O
finement	O	O
,	O	O
tout	O	O
en	B-EVENT	O
n'	I-EVENT	O
éveillant	E-EVENT	O
,	O	O
croyait	O	O
-	O	O
il	O	O
,	O	O
aucune	O	O
mauvaise	O	O
idée	O	O
chez	O	O
les	O	O
élèves	O	O
,	O	O
me	B-EVENT	O
félicita	I-EVENT	O
d'	I-EVENT	O
avoir	I-EVENT	O
écrit	E-EVENT	O
une	O	O
lettre	O	O
de	O	O
douze	O	O
lignes	O	O
sans	O	O
aucune	O	O
faute	O	O
.	O	O

Il	O	O
me	O	O
demanda	S-EVENT	O
si	O	O
je	O	O
l'	B-EVENT	O
avais	I-EVENT	O
bien	I-EVENT	O
écrite	I-EVENT	O
seul	E-EVENT	O
,	O	O
puis	O	O
il	O	O
me	B-EVENT	O
pria	I-EVENT	O
de	I-EVENT	O
le	I-EVENT	O
suivre	E-EVENT	O
dans	O	O
son	O	O
bureau	O	O
.	O	O

Nous	O	O
n'	B-EVENT	O
y	I-EVENT	O
allâmes	I-EVENT	O
point	E-EVENT	O
.	O	O

Il	O	O
me	B-EVENT	O
morigéna	E-EVENT	O
dans	O	O
la	O	O
cour	O	O
,	O	O
sous	O	O
l'	O	O
averse	O	O
.	O	O

Ce	O	O
qui	O	O
troubla	S-EVENT	O
fort	O	O
mes	O	O
notions	O	O
de	O	O
morale	O	O
,	O	O
fut	O	O
qu'	O	O
il	O	O
considérait	S-EVENT	O
comme	O	O
aussi	O	O
grave	S-EVENT	O
d'	O	O
avoir	B-EVENT	O
compromis	I-EVENT	O
la	I-EVENT	O
jeune	I-EVENT	O
fille	E-EVENT	O
(	O	O
dont	O	O
les	O	O
parents	O	O
lui	O	O
avaient	B-EVENT	O
communiqué	E-EVENT	O
ma	O	O
déclaration	S-EVENT	O
)	O	O
,	O	O
que	O	O
d'	O	O
avoir	B-EVENT	O
dérobé	E-EVENT	O
une	O	O
feuille	O	O
de	O	O
papier	S-EVENT	O
à	O	O
lettres	O	O
.	O	O

Il	O	O
me	O	O
menaça	B-EVENT	O
d'	I-EVENT	O
envoyer	I-EVENT	O
cette	I-EVENT	O
feuille	E-EVENT	O
chez	O	O
moi	O	O
.	O	O

Je	O	O
le	B-EVENT	O
suppliai	I-EVENT	O
de	I-EVENT	O
n'	I-EVENT	O
en	I-EVENT	O
rien	I-EVENT	O
faire	E-EVENT	O
.	O	O

Il	O	O
céda	S-EVENT	O
,	O	O
mais	O	O
me	O	O
dit	S-EVENT	O
qu'	O	O
il	O	O
conservait	B-EVENT	O
la	I-EVENT	O
lettre	E-EVENT	O
,	O	O
et	O	O
qu'	O	O
à	O	O
la	O	O
première	O	O
récidive	O	O
il	O	O
ne	O	O
pourrait	O	O
plus	O	O
cacher	O	O
ma	O	O
mauvaise	O	O
conduite	O	O
.	O	O

Ce	O	O
mélange	S-EVENT	O
d'	O	O
effronterie	S-EVENT	O
et	O	O
de	O	O
timidité	S-EVENT	O
déroutait	S-EVENT	O
les	O	O
miens	O	O
et	O	O
les	O	O
trompait	S-EVENT	O
,	O	O
comme	O	O
,	O	O
à	O	O
l'	O	O
école	O	O
,	O	O
ma	O	O
facilité	O	O
,	O	O
véritable	O	O
paresse	S-EVENT	O
,	O	O
me	O	O
faisait	O	O
prendre	O	O
pour	O	O
un	O	O
bon	O	O
élève	O	O
.	O	O

Je	O	O
rentrai	B-EVENT	O
en	I-EVENT	O
classe	E-EVENT	O
.	O	O

Le	O	O
professeur	O	O
,	O	O
ironique	O	O
,	O	O
m'	B-EVENT	O
appela	I-EVENT	O
Don	I-EVENT	O
Juan	E-EVENT	O
.	O	O

J'	O	O
en	O	O
fus	O	O
extrêmement	O	O
flatté	S-EVENT	O
,	O	O
surtout	O	O
de	O	O
ce	O	O
qu'	O	O
il	O	O
me	O	O
citât	S-EVENT	O
le	O	O
nom	O	O
d'	O	O
une	O	O
œuvre	O	O
que	O	O
je	O	O
connaissais	S-EVENT	O
et	O	O
que	O	O
ne	B-EVENT	O
connaissaient	I-EVENT	O
pas	E-EVENT	O
mes	O	O
camarades	O	O
.	O	O

Son	O	O
«	O	O
Bonjour	O	O
,	O	O
Don	O	O
Juan	O	O
»	O	O
et	O	O
mon	O	O
sourire	O	O
entendu	O	O
transformèrent	S-EVENT	O
la	O	O
classe	O	O
à	B-EVENT	O
mon	I-EVENT	O
égard	E-EVENT	O
.	O	O

Peut	O	O
-	O	O
être	O	O
avait	O	O
-	O	O
elle	O	O
déjà	O	O
su	O	O
que	O	O
j'	O	O
avais	B-EVENT	O
chargé	I-EVENT	O
un	I-EVENT	O
enfant	E-EVENT	O
des	O	O
petites	O	O
classes	O	O
de	B-EVENT	O
porter	I-EVENT	O
une	I-EVENT	O
lettre	E-EVENT	O
à	O	O
une	O	O
«	O	O
fille	O	O
»	O	O
,	O	O
comme	O	O
disent	S-EVENT	O
les	O	O
écoliers	O	O
dans	O	O
leur	O	O
dur	O	O
langage	O	O
.	O	O

Cet	O	O
enfant	O	O
s'	B-EVENT	O
appelait	E-EVENT	O
Messager	S-EVENT	O
;	O	O
je	O	O
ne	O	O
l'	O	O
avais	O	O
pas	O	O
élu	O	O
d'	O	O
après	O	O
son	O	O
nom	O	O
,	O	O
mais	O	O
,	O	O
quand	O	O
même	O	O
,	O	O
ce	O	O
nom	O	O
m'	B-EVENT	O
avait	I-EVENT	O
inspiré	I-EVENT	O
confiance	E-EVENT	O
.	O	O

À	O	O
une	O	O
heure	O	O
,	O	O
j'	O	O
avais	B-EVENT	O
supplié	E-EVENT	O
le	O	O
directeur	O	O
de	B-EVENT	O
ne	I-EVENT	O
rien	I-EVENT	O
dire	E-EVENT	O
à	O	O
mon	O	O
père	O	O
;	O	O
à	O	O
quatre	O	O
,	O	O
je	O	O
brûlais	B-EVENT	O
de	I-EVENT	O
lui	I-EVENT	O
raconter	I-EVENT	O
tout	E-EVENT	O
.	O	O

Rien	O	O
ne	O	O
m'	O	O
y	O	O
obligeait	O	O
.	O	O

Je	O	O
mettrais	O	O
cet	O	O
aveu	O	O
sur	O	O
le	O	O
compte	O	O
de	O	O
la	O	O
franchise	O	O
.	O	O

Sachant	S-EVENT	O
que	O	O
mon	O	O
père	O	O
ne	O	O
se	O	O
fâcherait	O	O
pas	O	O
,	O	O
j'	O	O
étais	O	O
,	O	O
somme	O	O
toute	O	O
,	O	O
ravi	B-EVENT	O
qu'	I-EVENT	O
il	I-EVENT	O
connût	I-EVENT	O
ma	I-EVENT	O
prouesse	E-EVENT	O
.	O	O

J'	O	O
avouai	S-EVENT	O
donc	O	O
,	O	O
ajoutant	S-EVENT	O
avec	O	O
orgueil	O	O
que	O	O
le	O	O
directeur	O	O
m'	O	O
avait	B-EVENT	O
promis	E-EVENT	O
une	O	O
discrétion	O	O
absolue	O	O
(	O	O
comme	O	O
à	O	O
une	O	O
grande	O	O
personne	O	O
)	O	O
.	O	O

Mon	O	O
père	O	O
voulait	O	O
savoir	O	O
si	O	O
je	O	O
n'	O	O
avais	O	O
pas	O	O
forgé	O	O
de	O	O
toutes	O	O
pièces	O	O
ce	O	O
roman	B-EVENT	O
d'	I-EVENT	O
amour	E-EVENT	O
.	O	O

Il	O	O
vint	S-EVENT	O
chez	O	O
le	O	O
directeur	O	O
.	O	O

Au	O	O
cours	O	O
de	O	O
cette	O	O
visite	O	O
,	O	O
il	O	O
parla	S-EVENT	O
incidemment	O	O
de	O	O
ce	O	O
qu'	O	O
il	O	O
croyait	O	O
être	O	O
une	O	O
farce	S-EVENT	O
.	O	O

—	O	O
Quoi	O	O
?	O	O
dit	S-EVENT	O
alors	O	O
le	O	O
directeur	O	O
surpris	S-EVENT	O
et	O	O
très	O	O
ennuyé	S-EVENT	O
;	O	O
il	O	O
vous	O	O
a	O	O
raconté	O	O
cela	O	O
?	O	O
Il	O	O
m'	O	O
avait	O	O
supplié	O	O
de	O	O
me	O	O
taire	O	O
,	O	O
disant	O	O
que	O	O
vous	O	O
le	O	O
tueriez	O	O
.	O	O

Ce	O	O
mensonge	S-EVENT	O
du	O	O
directeur	O	O
l'	B-EVENT	O
excusait	E-EVENT	O
;	O	O
il	O	O
contribua	S-EVENT	O
encore	O	O
à	O	O
mon	O	O
ivresse	S-EVENT	O
d'	O	O
homme	O	O
.	O	O

J'	O	O
y	O	O
gagnai	S-EVENT	O
séance	O	O
tenante	O	O
l'	O	O
estime	S-EVENT	O
de	O	O
mes	O	O
camarades	O	O
et	O	O
des	O	O
clignements	B-EVENT	O
d'	I-EVENT	O
yeux	E-EVENT	O
du	O	O
maître	O	O
.	O	O

Le	O	O
directeur	O	O
cachait	S-EVENT	O
sa	O	O
rancune	S-EVENT	O
.	O	O

Le	O	O
malheureux	O	O
ignorait	O	O
ce	O	O
que	O	O
je	O	O
savais	O	O
déjà	O	O
:	O	O
mon	O	O
père	O	O
,	O	O
choqué	O	O
par	O	O
sa	O	O
conduite	O	O
,	O	O
avait	O	O
décidé	O	O
de	O	O
me	O	O
